stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,35.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,29.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.32,0,0,10.61,0,0,6.32,0,0,0,0,93.21,0,0,0,0,0,0,0,0,0,60.86,5.77,0,0,12.78,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,20.38,0,9.79,0,0,0,0,0,47.55,0,0,0,0,0,0,0,0,0,310.79,6.97,0,0,49.72,0,4.8,0,70.25,0,0,0,0,0,0
 14-21,0,0,0,0,4.84,17.26,0,0,0,192.56,0,0,0,0,0,0,0,25.06,0,0,1.14,118.93,2.03,4.98,40.32,2.02,1.09,1.53,3.68,374,2.6,424.92,0,0,0,0
 24-34,0,0,0,0.59,6.92,0,0.85,0,2.61,153.53,0.98,0,0,0,0,1.82,7.19,6.26,0,0,2.76,112.59,2.24,16.43,14.14,0,6.63,0,0,101.29,4.79,251.22,0,1.39,0,0
 36-46,0,0,0.95,0,0,0,1.45,1.04,0,97.89,0.61,0,0,0,0,2.76,0,6.61,0,0,0.62,105.64,0,35.22,5.91,0,9.42,0,0,45.59,0,220,0,2.23,0,0
 48-58,0,0,0,0,3.38,0.69,6.89,0.67,0.76,121.02,0.43,0,0,0,0,5.43,0,6.89,0,0,0,51.22,0,34.35,13.38,0,0.75,0,0,16.85,0,174.6,0,0.49,0,1.32
 60-70,0,0,0,0,0,0,5.5,0,0,101.62,0,0,0.65,0,0,19.54,0,3.2,0,0.65,0,72.13,0,41.61,17.08,0,0,0,0,30.8,0,106.23,0,0.9,0,0
 72-82,0,0,6.22,0,0,0,3.61,0.5,0.79,87.78,0.56,0,2.03,0,0.83,25.24,0,11.18,8.82,1.46,0,49.42,0,66.69,39.7,0,1.32,0,0,7.78,0,51.71,0.5,1.53,1.68,0
 84-94,0,0,5.73,0,0,0,5.63,0,0,69.21,5.13,0,0,1.27,0,20.77,0,11.47,0,0,0.57,37.51,0,56.47,54.74,0,3.86,1.4,0,21.34,0,84.33,2.8,1.4,0,0
 96-106,0,0,3.18,2.35,0.95,0.59,5.04,0,0,81.6,6.28,0,0.56,0.84,0,60.86,0,5.75,0,0,0,15.64,0.8,83.9,51.61,0,1.86,0,0,10.85,0,38.36,1.22,1.95,0,8.27
108-118,0,0,3.31,2.49,0,0.42,8.34,0,0,73.52,0.75,0,0,0,0,22.02,0,14.46,0,0.94,0,42.23,0,50.28,29.46,0,4.21,0,0,11.46,0,24.07,0,0,0,1.43
120,0,0,0,0,0,0,12.04,0,0,91.67,1.73,0,5.89,0,0,50.39,0,2.02,0,0,0,38.77,0,46.55,60.46,0,2.13,0,0,23.69,0,27.23,0,16.43,0,0
