stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.59,215.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.17,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.28,456.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.98,7.94,0,0,9.21,0,58.15,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.6,14.64,0,0,0,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.01,33.29,0,0,114.61,0,14.82,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,52.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.33,9.73,0,0,0,0,0,4.37,0,0,0,0,9.39,0,0,0,0,0
 14-21,0,0,10.89,4.64,0,0,2.81,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,11.72,0,0,10.57,1028.96,0.85,18.04,0.93,1,0,28.63,0,1.41,0,2.19,2.43,766.06,0,0,0,0,0
 24-34,0,0,4.62,12.73,1.7,0,55.5,0,1.62,2.54,15.03,0.59,0,0,0,0,0,0.75,2.41,2.96,26.38,0.7,0,4.16,6681.01,1.79,146.1,0.82,0,0,28.36,0,0,0.72,0,0,2011.31,0,0,2.94,0,0
 36-46,0,0,2.79,7.63,1.13,0,410.07,0,1.96,1.14,45.62,3.12,0,1.22,5.15,0,0,0.67,0,8.16,36.31,0,4.2,22.03,19473.24,3.82,235.75,4.19,0,0,21.52,0.73,0,2.31,1.84,0,4587.43,0,0,29.85,0,3.62
 48-58,0.39,0,1.84,54.11,6.66,0,3322.36,0.51,35.77,5.23,215.96,0,0,0.99,3.66,0,4.95,6.1,10.83,7.13,107.53,3.47,12.38,19.35,27623.3,9.73,205.29,19.42,0,1.72,21.38,0,0,3.44,9.09,0,5526.81,0,1.29,6.32,0,35.5
 60-70,0,0,1.52,33.04,5.29,0,15802.13,17.67,7.15,11.34,236.91,0,0,1.74,10.58,0,15.46,2.21,1.34,0,116.01,0,14.46,11.73,29971.75,0,220.92,7.95,0,0.63,22.83,0,0,10.03,0,0,4155.67,0,0.73,0.68,6.48,32.75
 72-82,0,0,6.96,121.06,16.45,0,15518.39,0.95,6.49,20.35,388.78,4.29,0.52,2.71,8.01,1.54,6.94,3.11,0,3.24,177.3,0,26.16,14.65,27399.27,11.76,330.67,11.91,0,1.61,24.17,0.56,0,1.38,0,0,1871.07,8.95,4.02,18.44,19.61,12.13
 84-94,0,0,6.28,147.62,19.44,0,9597.51,3.15,7,19.83,361.42,16.75,0,3.36,4.86,4,40.55,1.78,0,0.87,181.38,2.3,29.75,15.81,17337.1,2.17,271,22.06,0,0,30.28,0,0,1.07,2.34,0,1404.88,6.53,9.73,12.52,9.37,8.67
 96-106,0,0,4.71,117.7,37.69,5.91,6684.3,6.22,8.93,10.41,337.74,6.11,0,6.4,7.14,1.77,10.17,7.82,27.15,0,136.81,1.48,6.16,10.74,14163.42,2.22,444.93,8.19,0,1.51,58.43,0,0,2.56,0,0,560.73,5.31,5.97,12.81,5.17,22.1
108-118,0,0,10.19,147.7,18.87,7.9,5666.45,3.03,0.43,2.94,244.85,6.9,0,1.27,2.76,1.7,50.74,6.73,13.25,0,121.3,12.38,5.03,13.47,16198.45,3.59,319.46,5.83,0,0,25.9,0.79,0,1.48,0,0,473.71,3.56,0,12.19,7.89,10.08
120,0,0,4.99,146.63,2.1,14.01,3920.21,3.42,2.75,5.33,207.67,5.28,0,0,19.35,4.95,53.59,0,3.61,0,158.01,2.66,10.45,11.09,20014.76,8.44,221.76,18.77,0,0,17.63,1.53,0,5.91,0,0,601.87,0,6.76,24.94,0,25.13
