stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,11.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.8,0,0,0,8.98,0,0,0,0,0,0
 14-21,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0.95,0,0.92,0,0,0,10.8,0,0,0,0,0,2.36,0,0,0,0
 24-34,0,0,0,0,0,24.87,0,0,0,0,0,0,0.88,0,0,0,0,0,0,49.12,0,1.71,3.22,0,8.72,5.39,0,0,1.5,0
 36-46,0,0,0,0,0,48.44,2.33,0,0,0,0,0,0,0,0,1.47,2.14,0,0.56,424.05,0,1.27,0,0,8.48,3.97,0,0,0,0
 48-58,0,0,7.08,0,0,24.46,0,0.45,8.33,0,0,0,0.92,0,0,7.75,0.46,0,0.38,390.3,0,0,0,0,4.03,24.2,0,0,2.62,0
 60-70,0,0,0,0.71,0,168.45,1.25,0,5.18,0,1.21,0,5.93,0,0,6.35,0,0,1.09,533.69,0,0,0,0,3.86,5.33,0,0,0,0
 72-82,0,0,0.49,5,1.16,60.84,0,1.17,5.98,2.15,0,0,2.57,0,0.74,12.4,0,6.26,2.3,695.59,0,0,3.18,0,5.39,4.98,0,0,0,0
 84-94,0,1.11,2.09,11.3,0,56.24,0,0,23.87,1.25,0,0,0,0,0,8.25,0,0,0,824.7,0,0,0,0,37.08,0,0,0,0,0
 96-106,0,0,4.17,13.51,0,66.42,2.64,0,82.66,4.14,0,0,0,0,8.07,7.47,0,0,0,413.63,0.91,0,0,0,37.74,1.93,0,0,0,0.68
108-118,0,0,7.57,4.77,0.49,40.17,0.44,0,9.14,0,0,1.49,0.43,0,0,16.36,0,0,1.86,1121.11,0,0.47,0.44,0,13.21,24.48,4.34,1.19,0,0
120,0,0,77.85,2.03,0,93.65,2.36,0,159.37,27.56,0,0,1.75,0,0,0,0,0,1.99,1046.09,0,0,0,0,2.67,0,0,0,1.96,0
