stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,0,106.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.55,16.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.09,0,0,0,0,0,0,0,0,0,0,43.04,0,0,0,3.84,0,0,0,0,0,0
 10-12,0,0,0,0,3.73,0,0,0,0,0,0,29.91,0,0,0,17.79,0,0,0,0,0,0
 14-21,0,0,2.27,0,1.86,0,0,0,0,0.84,0,19.14,1.05,0,0,0,5.56,2.7,5.5,8.83,1.01,0
 24-34,0,0,0,0,0.69,0,0,0,0,4.67,0,28.97,0,0,0,0,11.87,0,0.6,10.28,1.71,0
 36-46,0,0,0,0,2.5,0,1.6,0,0,1.38,0,12.12,0,0,0,0,7.23,0,1.09,3.28,0,0
 48-58,0,0,0,0,11.31,0,0,0,0,0.97,0,14.76,0,0,0,0,0.52,0,0,2.89,0,6.92
 60-70,0,0,0,0,11.76,6.47,4.61,0,0.7,0.87,0,7.69,0,0.89,0,0,3.79,0,0,2.89,0,0
 72-82,0,0,1.16,0,11.4,0,0.64,0.66,0,2.44,1.23,10.52,1.67,0,0,0,2.92,0,0,1.03,0,0
 84-94,0,0,1.47,2.63,4.71,0,0,0.61,0,0,0,6.57,0,0,1.3,0,4.99,0,0,0.63,6.02,0
 96-106,0,0,1.27,0,0,0,4.44,1.01,0,0,0,3.19,0,2.88,0,0,2.71,0,0,0,0,0
108-118,0,0,1,0,10.42,0,0,0.78,0,1.37,0,3.41,0,0.46,0,0,2.17,0,0,0,0,0
120,0,0,2.04,0,0,0,0,0,0,0,0,21.81,0,0,0,0,3.85,0,0,0,0,0
