stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.77,10.63,0,0,11.27,0,0,8.5,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.16,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,2.65,0,0,0,9.24,95.05,0,0,1.18,0,0,0,2.15,0,0,2.61,0,0,0,0
 24-34,0,0,0,1.97,0,1.86,0,0,0,4.37,0,0,0,0,0,0,0,0,23.09,0,0,12.47,22.77,119.14,6.94,0,0,0,3.92,0,0,0,0,5.68,0,1.5,0,0
 36-46,0,0,0,0,0,3.58,0.59,0,0,1.02,0,1.06,0,0,0,0,0,0,74.75,0,0,11.15,19.03,182.26,0,0,0,0,0,0,1.82,0,0,15.73,0,0,0,0
 48-58,0,0,0,0.54,0,6.1,0.74,0,4.18,2.14,0,0,0,0,0,0,0.63,1.27,136.65,0,1.42,18.45,28.57,171.76,1.14,0,0,0,0,0,0,0.4,0,5.89,1.72,5.94,0,0.99
 60-70,0,0,0,0,0,10.2,0,0,6.33,2.66,0,0,0,0,0,0,0,0.59,254.14,1.1,1.79,20.58,42.84,106.59,0,1.16,0,3.12,0,0,0,0,1.48,0.89,5.92,0,0.85,1.58
 72-82,0,0,0,2,0,25.42,0.57,0,22.6,4.88,0,0.86,0,0.66,6.23,0,0,1.69,459.97,0,4.08,25.57,45.11,72.98,0,2.29,0,2.08,0,0,0,0,0,1.89,5.77,2.77,0,0
 84-94,0.62,0,0,0,0.64,22.17,0,0,23.33,2.82,0,0,0,0.73,1.96,0,0.58,11.09,388.25,0,7.46,25.13,23.73,116.02,0,1.34,0,0,3.03,0,0,0,7.29,7.12,8.21,2.81,0,3.22
 96-106,0,0,0,1.68,0,15.6,2.1,0.62,20.6,4.14,0,3.11,0,0,1.36,2.82,0,1.06,329.55,0,5.44,8.97,51.25,69.73,0,2.41,0,3.96,0.64,0,0,0,0,0,1.47,3.5,1.72,2.21
108-118,0,0,0,3.7,1.52,19.12,0,0,27.63,2.72,0,1.39,1.21,0,0.92,0,0,8.61,326.51,0,2.97,13.13,39.65,73.32,1.26,2.78,0,1.74,0.54,0,0,0,1.52,1.21,7.94,13.53,1.72,2.57
120,5.65,0,0,2.91,0,19.19,0,0,21.42,0,3.85,0,0,0,2.61,0,0,0,306.34,0,36.51,20.26,36.53,72.36,3.73,2.34,0,11.15,0,0,0,0,0,0,12.6,2.9,0,0
