stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
 14-21,3.74,43.84,0.86,15.76,0,0,1.67,2.27,0,0,0,0,0,1.84,0,13.84,0,5.22,184.87,1.87,3.35,0.85,0,0,1.53,2.48,41.04,7.44,40.9,0,1.63,0
 24-34,1.97,16.91,1.3,7.25,0,0.72,3.3,0,0,0,0,0,0,1.33,0,9.75,0,3.83,137.33,1.84,5.09,0,0,2.01,0.98,0,6.85,0,27.77,0,0,0
 36-46,0,7.65,0,4.99,1.23,0,10.34,0,0,0,0,0,0,0,0,11.47,0,2.81,68.63,0,5.33,0,0,0,0,0,1.69,0,13.95,0,0,0
 48-58,0,9.39,0,13.89,0,0,7.31,0.46,0.7,0,0,0,0,0,0,7.6,0,0.48,109.85,0,2.83,0,0.4,0,0,0,4.06,0,10.58,0,0,0
 60-70,0,0,0,46.41,0,4.22,6.49,1.57,0,0,0,0,0,28.33,0,3.71,0,0,90.7,0,0,0,0,0,0,0,14.94,0,9.32,0,0,0
 72-82,0.56,0.49,0,169.54,0,0,6.82,0.56,0,2.29,1.02,0,0,99.76,0,14.22,0,0,84.43,0,3.32,0,0,0,0,0,12.72,0,12.11,1.69,0,0
 84-94,0,2.26,0.72,141.93,0,0.63,3.67,0.63,0,0,1.14,2.52,0,187.53,0,21.4,0,1.45,53.42,0,3.2,0,0,0.86,0,0,35.09,0,13.35,0,0,0
 96-106,0,0.62,9.14,188.68,0,0,9.36,0,0.78,0,0,0,0,229.17,0,19.26,0,1.03,72.97,0,7.09,0,0,0,0,0,25.15,0,7.15,0,0,2.75
108-118,0,0.99,3.1,179.1,0,0,8.78,0,0,0.53,0,0,0.8,368.77,0.6,23.51,2.11,0.45,145.8,0.46,0.87,0,0,2.45,0,0,48.19,0,0,0,0.5,5.35
120,0,0,1.69,169.18,0,0,4.5,8.23,0,0,0,0,0,232.35,0,5.77,0,0,170.52,0,0,0,0,0,0,0,27.66,0,0,0,0,0
