stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.67,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55,0,0,0,10.17,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.07,0,9.35,0.81,0,3.5,0,0,0,3.56,0.82,0,0,0,0,0,0,0,4.25,0,4.17,56.63,1.95,0,0,0,0,0,9.84,0,0,9.7,10.14,0,0,0,0
 24-34,0,0.71,0.74,0,0,0,9.82,0,0,0,2.37,0,0,1.02,0.62,0,0,0,0,5.98,0,5.38,95.5,0,0,1.65,1,0,1.68,0,0,0,0,21.5,0,0.69,0,0.72
 36-46,0,0,0,2.44,0,0,22.1,0,0,0,5.71,1.33,0,0,0.93,0,0,0,1.47,7.91,0,2.22,109.33,0.61,0,0.64,0,0,2.89,0,0,0,0,28.05,0,0,0,2.83
 48-58,1.29,0,3.5,2.23,0,0,53.38,0,1.79,0.6,11.88,0,0.88,6.56,0,0,0.38,0,0,10.83,0,8.8,172.1,0,0.87,1.15,0,0,4.52,0,0,0,0,20.15,0,0,0,0
 60-70,0,0,0,2.29,0,0,69.34,0,0,0,10.35,0,0.59,0,0,0,0,0,0,14.34,0,0,131,0,2.5,0,0,0,3.85,0,0,0,0,21.02,0,0.67,0,0
 72-82,0,0,0,1.03,0,0,55.76,0,0,0,10.79,2.93,0,0,0,0,0,0,0,11.87,0.72,0,138.93,0,0,1.32,0,0,4.58,0,0,0,0,15.47,0,6.09,0,0
 84-94,0,0,0,3.84,0.86,0,46.11,0,3.6,2.53,3.3,0.62,0,3.78,0,0.68,0,0,0,22.88,0,0,152.14,0.67,0,4.65,0,1.66,2.59,0,0,0,0,5.05,0,6.17,0,7.25
 96-106,0,0,0,0.86,0,1.08,22.51,0,0.59,0,15.42,0,0,2.21,1.87,0.63,0.57,1.45,0,4.89,0.93,2.06,120.48,0,0,1.3,0,0,4.42,0,0,0,0,7.93,1.17,0,1.22,8.99
108-118,0,0.93,0,1.67,0,4.25,39.46,0.76,1.54,0.77,12.51,6.8,0,1.52,0.87,4.15,0.42,0,5.57,23.65,4.24,2.88,92.9,0,0,0.49,0,0,10.19,0,0.72,0.66,0,3,0,0,0,0.98
120,0,0,0,0,0,0,28.43,0,0,0,16.77,0,0,0,2.26,0,0,0,0,22.67,2.35,9.34,181.89,2.89,2.92,0,0,0,5.32,0,0,0,0,0,0,0,0,0
