stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.66,0,0,12.37,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,38.23,0,5.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.49,0,0,53.19,0,6.13,0,12.99,0,0,0,0,0,0,0,0
 14-21,0,1.07,0.81,17.68,4.74,0,0,0,0,0,0,0,1.84,0,4.58,0,0,0,5.43,0,0,5.66,7.32,1.08,1.07,6.82,0,43.46,11.73,0,0.91,12.26,8.17,0,0,2.96,0,0
 24-34,0,0,0,5.76,3.87,3.84,0,0,0,0,0.63,2.39,3.1,0,8.44,0,2.68,0,11.52,3.82,0,9.61,129.43,1.39,4.51,0,0,208.42,0,0,0,4.63,4.34,0,0,48.34,0,0
 36-46,0,0,0,15.27,0,3.82,3.36,1.19,0,0,0.56,0,2.82,0,2.95,0,2.52,0,9.36,3.15,0.86,2.42,342.82,1.36,8.17,0,0,238.72,0,0,0,0,10.02,0,0,34.67,0,0
 48-58,0,0,0,8.91,0,50.49,5.14,4.1,1.69,5.51,0,4.77,6.59,0,8.29,10.22,1.47,0,10.97,5.9,0.48,0.59,432.62,3.45,6.01,0,0.56,105.72,0,0,0,0,10.34,0,0,36.69,0,0
 60-70,0,0.57,0,17.23,0,325.32,0.62,2.09,0,3,2.09,0.66,1.91,0,0.93,0,2.09,0,28.43,4.2,1.51,1.71,711.18,2.15,3.82,0,1.26,73.61,0,0,0,0,6.62,0.61,0.71,49.78,0,0
 72-82,0,0,0,12.71,5.44,477.38,0,0.5,0,14.8,10.6,1.58,9.17,0,3.82,0,6.88,0,40.35,5.34,6.94,0.96,691.66,11,9,0,0,71.74,0,0,0,0,23.33,1.44,1.1,48.27,2.52,8.11
 84-94,0,1.85,0,22.99,0,493.88,1.33,1.47,3.75,2.3,4.14,0.77,11.11,1.07,8.22,0,10.69,2.64,29.02,12.57,0,0,607.29,3.08,7.52,0,0,151.59,0,0,0,0,3.19,1.82,2.21,63.33,0,0
 96-106,0,1.85,0,44.1,7.51,338.7,0,8.38,0,13.04,10.09,0,0,0.7,6.57,0,6.74,11.34,41.39,37.5,4.48,0.79,433.03,10.56,12.61,0,0,144.05,0,0,0,0,4.49,0.98,3.12,78.24,3.45,0
108-118,0,1.39,0,43.19,8.31,288.88,0,1.22,0.64,13.14,20.71,0,1.78,1.27,7.66,0,2.7,0,29.5,19.42,0,1.33,588.26,3.81,22.49,0,5.92,136.74,0,0,1.12,0,9.22,9.97,6,44.99,0.54,0
120,0,0,0,41.24,3.63,408.12,0,1.06,0,22.98,17.3,0,1.17,0,5.95,0,5.26,0,11.69,7.63,3.7,10.02,895.89,17.31,27.72,0,2.67,106.72,0,0,0,0,1.64,1.84,0,35.34,0,0
