stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,37.57,1013.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.95,0,0,0,0,0,0,0,0,0,0,0
  5-6,58.71,585.52,0,10.49,0,0,0,0,0,0,0,0,36.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.26,0,0,0,0,0,8.63,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,106.98,19.34,0,0,157.69,0,0,5.15,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.02,0,3.04,0,0,18.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.6,19.79,0,0,117.96,0,0,0,0,26.28,0,3.11,0,0,0,0,0,0
 14-21,0,0,1.07,0,11.99,8.37,2.46,0,0,0,1.71,0,0,0,0,0,0,0,0,3.28,0,0,2,119.55,5.64,0,0.8,3.51,0,9.41,3.03,8.36,1.08,1.69,8.1,69.59,0,0,19.35,0,0
 24-34,0,0,2.65,0.61,6.46,2.6,16.71,0,0,0,4.53,1.65,0,2.11,3.44,0,0,0,0,17.21,0.76,0,5.72,410.53,2.36,13.27,2.61,0,0,58.38,0,0,0,0.61,0.75,136.74,0,0,85.58,0,0
 36-46,0,0,0,0,9.75,0,57.21,0,2.93,0,17.6,0.56,0,3.23,10.08,0,0,1.07,0,20.88,0,0,3.76,641.57,2.37,9.65,0,0,0,67.82,0.91,0,0,0,0,166.44,0,0,26.03,0,0.93
 48-58,0,0,0,0,23.64,0.43,175.56,0,3.38,0.37,48.22,0,0,0,7.9,0.47,0,0,10.56,28.74,0,7.42,3.2,966.99,0.88,3.75,3.6,0,0,48.09,0,0,0,0,0,191.6,0,0,45.93,0,6.75
 60-70,0,0,0,0,15.28,0,356.52,0,0.76,0,29.71,0,0,0,10.44,0,0,0,7.12,38.5,0,0,4.08,1025.81,0.63,2.41,0,0,0,44.14,0,0,0.63,0,0,141.78,0,0,28.55,1.79,0
 72-82,0,0,2.46,0,6.2,2.89,475.75,2.62,0,10.52,40.4,2.16,0,0.81,14.28,2.79,0,0,0,80.18,0,0,2.53,1330.19,0,9.6,9.23,0,0,18.06,0,0,0,0,0,83.71,1.87,0.61,38.94,3.09,12.42
 84-94,0,0,2.22,1,16.33,0,311.44,0,1.66,0,43.28,2.51,0,0.6,29.94,1.27,0,2.93,1.96,40.64,0,2.92,0,789.81,0,8.85,2.94,0,3.12,50.54,0,0,0,0.59,0,48.7,2.71,1.05,27.11,0,1.67
 96-106,0,0,0.99,0,12.41,15.04,383.16,0,1.52,0,59.16,4.87,0,4.18,18.1,4.41,0,0,0,49.52,0.6,4.2,1.22,653.31,0.59,9.83,3.14,0,2.42,49.97,0,0,0,0,0,40.87,0,3.51,43.36,0,1.54
108-118,0,0,0,0,16.18,2.6,309.66,0,0,0.94,44.32,3.73,0,1.28,23.69,5.6,0.53,0,1.1,54.6,1.14,2.5,2.95,783.5,0,6.04,5.42,0,0,35.44,0,0,0,0,0,26.96,1.29,0,42.62,0,5.96
120,0,0,0,0,39.01,1.14,271.2,0,0,0,36.55,7.64,0,0,49.35,7.46,0,6.12,0,42.58,1.16,0,6.15,1183.99,0,8.3,1.61,0,0,35.8,0,0,0,0,0,55.62,0,0,34.76,0,0
