stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.7,87.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.48,0,13.27,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,19.12,6.68,0,13.51,0,7.71,0,0,0,0,0,0,0
 10-12,0,0,8.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.23,0,0,4.4,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.02,0,0,0,0,0,1.18,0,0,0.96,0,0,0
 24-34,0,0,0,0,1.86,2.01,0,0,0,0,0,0,0,0,1.5,0,0,0,5.62,0,0,0,1.22,0,0,0,0,0,12.83,0,0
 36-46,0,0,0,0,0,2.82,4.77,0,0,0,0,0,0,0,0.67,0,0,0,14.45,0,1.63,0,5.91,0,0,0,0,0,6.45,0,0
 48-58,0,0,0,3.04,0,19,6.55,0,0,0,0.42,0,0,0,0,0,0,0,48.38,0,0,0,17.58,0,0,0,0,0,4.39,0,0
 60-70,0,0,0,1.68,0,7.17,5.71,0,0,0,0,0,0,0,0.97,0.62,0,0.89,40.29,0,0,0,74.84,0,0,0,0,0,0,0,0
 72-82,0,0,0,23.41,0,26.09,10.25,0,0.83,0,2.04,0,0.56,0.57,2.25,1.05,5.07,0.84,20.08,0,0,0,203.74,0,0,0,0,0,0,0.74,0
 84-94,0,0,0,3.48,0,10.97,15.92,8.01,0,0,0,0,0.58,0,3.35,4.22,0,0,14.84,0,0,0,107.23,0,0,0,0.83,0,0,0,0
 96-106,0,0,0,21.19,0,26.04,22.3,0,1.52,0,0,0,1.54,0,0,5.15,0,0,12.96,0,0,0,116.21,0,0,1.01,0,0,0,0.86,0
108-118,0,0,0,59.42,2.36,47.3,26.86,0,0,0,0,1.86,1.14,0,3.4,0.53,0,0,20.65,0,0,0,87.13,0,0,0,0,0,0,6.53,0.85
120,0,0,0,158.77,0,46.32,18.21,4.1,0,0,0,0,4.52,3.53,18.03,3.12,0,0,28.46,0,0,0,89.82,0,0,0,0,0,3.65,45.24,0
