stage,eye,immune,mesenchyme,neural,spinal_cord
 24-34,0,0,0,5.34,2.2
 36-46,0.96,0,0,17.27,3.17
 48-58,1.12,0,0,40.11,3.38
 60-70,2.76,0,0.74,20.65,8.84
 72-82,8.37,0,0,11.69,0
 84-94,2.83,0.59,0,9.05,0
108-118,0.9,0,0,5.02,0
120,0,0,0,35.23,0
