stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.11,2.14,11.12,5.2,0,5.81,0,0,0,0,0,0,0,0,0,0,0,0,4.51,4.45,0,0,3.1,87.96,1.64,0,0,1.83,0,0.92,7.91,0,1.14,11.15,30.7,0,0,0,0,0
 24-34,0,0.6,4.03,2.01,0,21.85,0,0,2.08,3.49,0,0,0,0,0.6,0,0.6,0.68,0,12.3,0,1.21,6.13,216.81,0,1.22,0,0,0,11.74,0,1.04,0,1.58,46.75,0,0,8.79,0,0
 36-46,0,0,3.46,0,0,48.62,3.2,0,2.19,9.3,0,0,0,0,0,0,0.6,7.26,0.63,12.81,0,0,2.09,283.31,1.06,2.01,0.61,0,0,6.8,0,0.88,0,0,56.11,0,0,1.01,0,20.16
 48-58,0,0,3.73,0,0,97.13,0,0.46,0.72,6.69,0,0,0,0.81,0,0,0,0,0.56,22.29,0.52,0.5,5.1,262.98,0,1.18,0.46,0,0,0,0,0,0,0,51.13,0,0,2.15,0,3.23
 60-70,0,0,5.48,1.5,0,215.25,0,1.1,0,16.09,0,0,0,0,0,4.64,0.63,0,0,20.46,0,0,0.77,365.5,0,1.56,0,0,0,6.42,0,1.06,0,0,48.7,0.77,0,0.85,0,18.96
 72-82,2.27,0,8.39,10.9,0,165.69,0.65,0.5,0,21,0.63,0,0.89,1.55,0,0,0,0,0,25.4,0.67,0,2.43,270.05,0,0,0,0,0.84,6.76,0,0,1.81,0,17.74,1.61,0.49,2.63,0.57,0
 84-94,0,0,14.7,16.74,0,135.79,0.79,0,0,29.75,1.94,0.99,0,6.02,0,0,1.26,0,0,29.26,0,1.13,4.34,177.1,2.89,0.71,0,0,0,17.02,0,0,0,0,13.47,0,2.53,3.34,0,0
 96-106,0.63,1.03,5.42,15.96,0,181.51,0,0,0.77,24.76,1.72,0,0,3.75,0,0,0.97,0,0,32.19,0,3.95,3.76,152,0,1.48,1.19,0,0,2.11,0,0,0,0,5.29,6.64,0,10.2,4.24,12.95
108-118,0.95,0.49,4.84,20.31,0.5,148.07,0.5,0.99,1.84,25.15,0,0,4.44,4.39,3.03,2.15,1.15,0,0,40.8,0,0,2.5,254.67,0.47,1.38,0,0,0,8.53,0,0,0,0,7.78,4.36,0,3.04,4.22,5.93
120,2.96,0,17.63,24.27,2.02,151.17,2.79,1.65,0,55.86,1.25,0,0,7.2,0,0,2.85,0,0,21.59,0,0,2.9,171.04,0,1.45,0,0,0,3.34,0,0,0,0,5.86,2.83,0,3.19,0,3.14
