stage,epidermis,eye,glial,melanocytes,neural,periderm
 14-21,0,0,0,0,2.95,0
 24-34,0,0.61,0,0,0.99,0
 36-46,0,0.58,0,0,3.14,0
 48-58,0,0,0.73,0,7.19,0
 60-70,0.6,0,0,2.64,0,0
 72-82,0,0,0,0,2.55,0
 84-94,0,3.3,0,0,0.78,0
108-118,0,0,0,0,7.46,0
120,0,0,0,0,2.61,1.68
