stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,3.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.67,0,3.01,0,0,0,0,504.18,0,0,0,0,0,1.15,0,0,15.43,0,0,0,0,0,0,0,0,0,0,0,1.93
 36-46,0,0.6,13.46,0.57,0,4.2,0,0,0,0,1489.18,0,1.11,0,0,0,1.83,0.55,0,33.39,0,0,0,0,0,1.24,0,5.26,0,4.04,0,0
 48-58,0,0.39,9.92,13.41,0.45,0,0,0.78,0,0,1670.45,0,0,0,0,0.6,10.31,0,4.87,32.86,0,0,0,0,0,2,0,5.75,0.4,0.85,0,8.23
 60-70,0,1.84,0,41.87,0,0,1.86,5.08,0,0,2546.82,0,0,0,0,0,14.38,0,1.61,80.31,0,0,0,0,0,3.81,0,9.06,0,0,0,0
 72-82,0,1.48,11.55,20.17,0,6.38,1.17,3.35,0,0.89,2211.03,0.61,0.71,0,0,0,52.06,0,0.75,48.31,2.7,1.04,0,0,0,3.19,0.74,0.7,2.74,0,1.87,0
 84-94,1.46,3.81,10.39,16.1,0,0,0,2.91,0,0,3004.77,0,8.94,0,0,0,27.22,0,1.48,6.22,0.62,0,2.92,0,0,7.03,0,1.19,1.08,0,0,0
 96-106,0,4.46,11.54,39.46,0,0,0,7.98,0.86,0,2756.4,0,0.92,3.61,2.05,0,54.75,4.08,3.83,29.8,0,6.64,0,0,0,10.67,0,2.54,0,4.81,3.94,0
108-118,0,7.4,9.21,36.51,0,9.99,0,4.93,1.25,0,2182.38,0,0.66,0,3.11,0,31.92,3.81,1.49,41.77,0,1.42,0,0,1.32,3.69,0,4.6,0.77,0.61,0,0
120,0,7.02,16.32,9.71,0,0,0,16.72,0,0,4920.2,0,0,0,1.42,0,186.98,0,3.71,53.44,2.47,0,11.89,0,0,0,0,1.74,0,0,0,0
