stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,melanocytes,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,32.36,824.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.2,0,0,0,0,0,0,0,0
  5-6,28.55,420.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.21,0,0,0,0,0,0,0,0
  7-9,3.57,12.48,0,0,3.96,0,0,0,0,0,0,0,0,0,83.47,0,0,7.15,0,0,0,0,0,0,0,0,0
 10-12,0,5.09,4.33,0,19.89,0,0,0,0,0,0,0,0,0,19.09,0,0,22.64,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.48,0.99,0.88,0,21.32,0,0,0,0,0,0,14.25,0,2.36,1.83,0,5,0,0,3.17,14.23,0,0,0
 24-34,0,0,0,0,0.8,0.66,0.61,6.7,0,0,0,0,0.78,0,5.55,2.46,3.11,0,3.62,0,0,0.82,0,9.96,0,0,0
 36-46,0,0,0,0.84,0,0,0,1.05,0,0,0,0,2.8,0,30.62,7.51,1.27,0,1.58,0,2.39,0,0,5.11,0,0,0
 48-58,0,0,0,0,0,0.81,0,0.78,0,0,0,0,2.01,0,5.35,6.34,0,0,2.16,0,0.61,0.49,0,5.71,0,0,0
 60-70,0,0,0,0,2.25,0,0,1.16,0,0,0,0,0,0,17.87,15.18,14.15,0,0,0,6.41,0,0,3.43,0,0,0
 72-82,0,0,0,0,2.36,0,0,6.64,0,0,0,0,0,1.09,18.95,24.42,3.38,0,0,0,0,0,0,12.77,0,0,0
 84-94,0,0,0,0,0.79,0,0,8.18,2.07,0,0.68,1.18,0,0,17.35,11.71,3.78,0,1.51,0,0.7,0,0,8.08,0,0,1.06
 96-106,0,0,0,0,0,0,0,1.46,0.74,0.64,0,3.54,0,0,6.17,22.71,6.48,0,5.55,0,0,0,0,10.75,0.62,0,0
108-118,0,0,0,0,3.24,0,0,2.42,5.33,0,0,1.24,0,1.06,20.64,10.15,4.37,0,1.22,0,0,0,0,0,4.38,0,0
120,0,0,0,0,3.6,2.21,0,2.67,0,0,0,2.66,0,0,1.49,7.97,1.51,0,0,0,0,0,0,1.57,0,7.39,0
