stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,0,0,0,0,0,0,0,0,0
  5-6,0,34.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.33,0,0,0,0,0,0,0,0,0
  7-9,9.71,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.12,0,0,0,7.81,0,72.88,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.22,0,0,0,55.2,0,44.67,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.3,5.04,0.94,0,0,0,0,0,0.88,0,0,0,4.79,0,0,0,3.06,0.88,7.59,0,0,5.59,27.73,2.35,0,0.84,0,0,95.31,2.5,0,2.72,5.07,0,0,2.17,0,0
 24-34,0.88,0,0,0,11.73,1.68,0,8.59,0,2.44,0,0.7,2.03,0,0.6,25.98,3.74,0,0.6,6.16,11.2,3.3,2.81,0,0.68,120.95,0.73,15.48,0.69,0,0.99,146.24,0.97,1.71,1.54,39.03,0,0,12.42,0,1
 36-46,0,0,0,0,1.31,0,0,12.5,0,0.57,0.64,3.99,0,8.88,0.6,23,0.61,0,3.34,12.64,6.45,2.15,6.09,0,2.71,241.04,1.12,27.12,0,0,0,209.7,0,0,0,53.91,0,0,13.57,0,4.7
 48-58,0.58,0,0.42,0,5.79,2.91,0,51,0,3,0.42,14.11,0,2.93,4.11,25.01,2.43,0,0,0,2.56,14.76,1.84,0,2.74,281.69,0,7.5,0.88,0,0,111.65,0,0,0,46.79,0,0,11.29,0,5.47
 60-70,0,0,0,0,0.69,0.67,0,116.88,0,2.44,0,30.96,0,7.12,0,69.99,0.62,0,0.77,0,0,19.95,6.04,1.73,0.83,247.67,0.62,7.45,1.95,0,0,146.97,0,0,0,36.02,0,0,11,0,4.3
 72-82,0,0,0,0,15.32,3.48,0,209.12,0,0,5.49,38.38,6.94,4.75,0.87,65.69,1.22,3.55,2.73,1.61,0.6,34.02,7.65,0.71,2.19,314.74,0.53,19.99,3.68,0,0.59,160.28,0,0,0,35.86,0.88,3.48,9.32,0.71,14.25
 84-94,0,0,1.15,0,30.02,4.36,0,112.88,0,2.76,0,18.11,5.44,3.99,0,86.63,4.46,0,0.8,0.83,9.83,28.56,7.69,1.07,1.48,183.18,0,4.68,0.61,0,0,463.03,0,1.62,0,11.74,0,3.31,21.02,1.74,3.54
 96-106,0,0,1.84,0,82.46,20.55,2.19,175.32,0,5.31,12.53,45.47,7.71,0,2.32,88.26,8.13,0.63,2.23,0,7.32,70.35,14.25,4.07,4.58,204.48,0.77,29.04,5.69,0,3.61,540.97,0,0.75,0,12.09,6.38,2.52,25.56,0,18.98
108-118,0,0,0,0,48.1,14.14,0,151.71,1.5,7.9,2.73,32.98,18.36,0,0.83,89.32,15.82,5.14,1.23,3.82,0,48.77,6.58,0.51,1.04,225.82,0,15.28,6.29,0,3.7,394.02,0,3.79,0,16.66,2.83,1.7,29.07,4.43,7.79
120,0,0,0,0,41.68,11.39,0,137.8,0,10.68,9.22,43.46,22.12,0,2.18,163.34,2.93,4.03,3.49,0,6.27,40.66,5.47,4.9,3.22,230.85,0,16.4,0,0,0,311.11,0,0,0,0,0,2.71,8.16,0,2.08
