stage,blastomeres,eye,glial,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,spinal_cord,vascular_smooth_muscle,xanthophores
  3-4,17.31,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.28,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.34,4.41,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.61,0,0,0,0
 24-34,0,1.16,1.8,0,0,0,1.15,0.93,4.19,0,2.9,0,0
 36-46,0,0,0,0,0,0,0.83,0,4.31,0,2.12,0,0.67
 48-58,0,5.97,0,0,0,0.67,0,0,9.18,0,0,0,1.69
 60-70,0,9.43,0,0,0,8.52,0,0,5.62,0,0,0,33.2
 72-82,0,3.74,1.03,3.54,0,0,0.68,0,0,0,0,0.52,8.85
 84-94,0,9.06,1.82,5,0,2.14,0.62,0,0,0,0,0,10.15
 96-106,0,1.52,1.23,4.03,0,0.78,0,0,1.11,0,0,0,1.44
108-118,0,1.76,0,8.94,1.1,9.72,0,0,1.5,0,0,0,8
120,0,0,5.49,11.46,0,8.73,0,0,2.49,0,0,0,0
