stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
 10-12,0,10.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.43,0,0,2.7,0,0,0,1.2,0,0,0,0,0,0,4.17,0,2.09,26.75,0,0,0,0,7.97,3.67,0,2.65,14.97,0,0
 24-34,0,0.76,0.6,0,0,0.61,0,0,0,2.62,0,1.02,1.08,0.62,0,0,7.63,0,2.79,34.7,0.64,1.06,0,0,17.09,0,2.13,0.98,10.39,0,1.72
 36-46,0,0,0,0,0,11.83,0,0,0,13.9,0,1.84,0,0,0,0.85,16.38,0,2.59,158.38,0,0.6,1.23,0,10.15,0,0,0,62.76,0.85,9.18
 48-58,0,0,0,0,0,15.69,0,0.49,0,4.59,0,0,0,0,0,0,6.06,0,0,96.51,0,5.58,2.32,0,3.35,0,0,0,24.42,0,2.84
 60-70,0,0,4.9,0,0,31.8,0,0,0,2.34,0,0,0,0,4.62,0,12.15,0,0,93.41,0.63,0,0,0,6.11,0,0,0,13.79,0,1.51
 72-82,0.62,0,0.49,1.51,0.76,31.22,0,0,0,7.05,0,0,4.17,0,0,0,14.44,0,0.69,87.72,0,0,0.95,0,0.77,0,0,0,10.38,1.97,9.07
 84-94,0,0,0,0.72,0,45.84,0.56,0,0,12,0,0,0.71,0,0,0,3.72,1.39,0,41.19,4.96,0.71,1.75,0,1.75,0,0,0,6.66,0,0
 96-106,0,0,1.47,10.58,0,15.28,0,0,0,6.51,0.58,0,0,1.73,0,0,4.78,0,0,20.2,0,3,0,0,2.39,0,0,0,0,0,4.33
108-118,0,0,4.3,2.55,0,22.94,0,3.43,1.72,8.13,0,0,2.99,0,0,0,0.68,0,2.32,44.25,0,2.07,0,2.05,13.09,0,1.54,0,5.33,0,0
120,0,0,0,1.6,0,34.24,0,4.18,0,4.23,0,0,0,0,0,0,2.26,0,1.93,86.9,0,0,0,0,3.3,0,1.74,0,0,0,0
