stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,22.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.68,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.92,0,0,0,10.26,0,13.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,40.74,0,0,0,0,0,0,0,0,0,5.62,0,0,0,0,0,0,0,0,0,0,0,65.76,0,0,0,112.85,0,11.16,0,0,11.32,0,20.38,0,0,0,0,0,0
 14-21,0,0,3.93,24.8,17.46,0,1.41,0,0,0,0,5.97,5.7,0,0,0.92,0,0,149.81,0,7.38,0,0,18.76,12.64,16.96,0.86,0,0,0,1.11,0,23.3,0,1195.63,380.65,4.75,0,0,0,0,0
 24-34,0,0,0,23.39,322.24,0,20.95,807.6,0,2.47,6,0,10.25,0.94,0,2.33,0,1.77,104.93,7.78,32.18,6.73,2.43,101.58,306.48,8.46,7.67,10,0,0,24.44,0.98,0,0,911.41,515.39,44.67,0,0,12.28,0,1.65
 36-46,0,0,0,11.52,490.03,0,28.71,1740.16,0.99,2.69,5.76,0.56,1.09,1.28,0,1.39,3.81,0,66.24,1.22,49.94,0,1.06,83.8,219.73,22.02,10.57,2.19,0,0,20.34,0,0,4.16,592.23,40.05,65.51,0,0,11.2,0,4.53
 48-58,0,0,0,20.58,1535.83,0,149.94,1619.85,4.2,2.51,19.27,2.81,0,0.88,1.89,0,1.04,0.41,14.76,8.69,90.63,0.82,0.95,65.77,540.07,10.72,6.59,4.73,0,0,35.37,0,0,0,341.02,0,95.86,0,0.85,4.72,0,14.25
 60-70,0,0,0,39.93,1766.5,0,227.94,1027.36,3.3,2.13,59.57,1.84,4.94,1.07,18.59,0.59,6.47,0,18.78,5.25,114.5,0,1.04,70.44,431.85,8.98,28.82,8.41,5.95,0,48.01,0,0,0,184.61,0,68.39,20.93,0,0,0,14.2
 72-82,0,0.79,0,30.04,1468.88,0,178.83,677.74,6.39,3.38,16.86,7.78,0,2.4,12.37,1.83,1.62,2.86,27.28,0,127.43,7.28,2.02,49.4,241.56,0,11.48,15.54,0,3.22,6.17,0,0,0.73,90.34,0,17.78,62.58,1.83,13.7,0.69,20.84
 84-94,0,0.73,0,28.71,1469.47,0,186.9,1032.62,1.94,3.47,23.59,56.26,0,1.82,10.33,4,4.15,1.05,29.55,0,113.86,6.41,10.23,78.86,242.04,4.85,0.77,21.74,0,0,66.05,0,0,0,145.8,0,23.6,165.84,0,13.02,1.72,10.81
 96-106,0,0,0,41.28,1812.14,0,219.2,1579.41,10.25,4.95,42.82,54.94,0,2.97,4.41,8.01,8,6.13,73.17,0.69,204.1,18.42,2.87,86.57,383.39,4.24,13.91,15.52,1.2,0,76.62,0,0,0.68,153.06,0,1.86,211.97,9.19,21.5,9.06,39.98
108-118,0,2.15,0,46.72,1167.05,19.26,191.51,1203.09,1.78,0,67.07,92.79,0,0,2.15,3.31,5.59,2.32,70.68,3.65,148.25,1.6,1.87,87.9,353.87,8.94,9.14,24.12,0,0,36,0,0,1.06,135.45,0,5.68,190.56,6.56,11.53,6.35,20.98
120,0,0,0,11.55,1457.94,5.6,146.22,763.25,36.61,4.1,13.38,49.64,0,3.84,1.38,0,26.75,0,57.14,0,121.45,0,2.75,97.42,189.09,4.79,6.3,16.61,0,0,10.75,0,2.24,0,45.47,0,8.64,83.41,5.4,35.2,0,0
