stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,41.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.07,0,0,0,0,0,0,0,0,0
  5-6,26.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.12,0,0,0,5.87,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.12,0,0,0,10.16,0,0,10.22,0,0,0,0,0,0,0
 14-21,0,0,2.55,18.41,1.02,0,2.91,0,0,0.84,1.38,0,0,0,3.86,0,0,0,0,1.81,1.89,0,3.17,91.21,1.04,0,19.06,0,6.73,0,73.32,0,4.35,9.53,0,0,0,0
 24-34,0,1.36,0,76.11,0,0,3.15,6.99,0,0,6.66,0,0,1.2,33.8,0,17.44,6.49,0,6.41,14.94,0,1.99,1225.59,0,10.13,50.66,0,54.25,0,63.96,0,0,38.39,0,0,0,0
 36-46,0,0,0,36.3,0,0,1.33,1.25,0,5.25,6.4,0,0.65,0,7.77,0,9.49,0,0,6.17,2.35,0,2.17,1680.48,1.69,8.93,44,0,23.22,0,17.01,1.69,0,40.6,0,0,0,0
 48-58,0,0,0,32.14,0,0,3.06,0.79,0,5.32,0,0.75,0,0,3.07,0,12.98,2.6,1.18,8.02,5.39,0.69,0.45,815.76,0,56.4,57.22,0,20.12,0,30.48,0,0,22.81,0,0,4.13,5.09
 60-70,0,3.91,0,23.85,0,0,2.04,0,0,6.32,13.25,2.33,0,1.16,1.66,0,41.78,1.41,0,14.26,6.66,0,0.72,337.71,0,44.77,67.12,0,13.8,0,26.5,0,0,16.98,10.42,0,0,3.91
 72-82,0,29.49,0,18.08,0,0,24.06,0.91,0,12.27,48.41,0,0.81,0,9.86,2.96,91.57,0,0,14.54,6.78,1.02,7.86,411.86,0,162.35,164.68,0,6.31,0,38.04,0,0,3.59,83.6,0,2.09,3.22
 84-94,0,40.52,0,23.43,0.85,0,36.26,1.37,1.5,5.61,104.68,0,0,0.69,5.2,0,160.31,9.31,0,16.43,11.63,1.17,0,470.43,0,150.71,186.2,0,23.88,0,91.06,0,0,5.27,392.67,0,0,1.41
 96-106,0,50.5,0,83.28,13.78,1.93,65.9,0,0,42.07,197.53,0,0,1.92,6.38,0,207.38,21.57,2.96,29.73,5.19,0.8,0,427.6,0,455.34,254.17,0,44.12,3.82,86.97,0,0,5.34,861.21,0,9.73,11.74
108-118,0,49.25,2.58,54.98,12.58,0.6,38.76,4.58,0,31.05,208.64,0,0,1.22,3.73,0,175.26,3.67,0.47,31.44,14.92,6.02,3.27,344.31,0,290.23,179.44,0,28.95,0,61.22,0,0,1.16,935.97,1.82,5.97,9.52
120,0,27.42,4.41,24.76,6.71,0,47.72,1.74,0,28.08,98.15,0,0,0,0,0,110.84,4.65,0,26.99,6.35,0,0,231.34,3.31,315.8,193.34,0,7.05,0,34.18,0,0,2.78,368,0,0,0
