stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,40.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,145.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.84,3.31,0,5.28,0,0,46.97,0,0,0,0,0,28.45,0,0,0,0,0,0,0,0,0,0,352.31,66.56,0,0,67.04,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.42,0,141.73,0,0,58.74,0,0,0,0,0,28.94,0,0,0,0,0,0,0,0,0,0,635.72,113.94,0,0,231.1,0,0,0,13.36,0,7.48,0,0,0,0,0
 14-21,0,0,3.88,9.06,42.91,21.63,38.58,0,0.82,0,25.36,14.21,2.25,3.59,0,0,0,0,4.08,82.22,0,0,112.99,717.11,28.56,0,10.26,7.39,0,0,54.98,7.92,261.76,167.31,269.8,0,12.04,0,1.69
 24-34,0,0,1.66,3.46,10.99,0.6,21.51,24.17,0,1.49,9.98,0.59,0,4.88,0,0,0,1.1,0,58.77,0,0,34.73,298.92,8.11,0,3.22,0,0,6.13,0,4.4,248.9,45.43,104.68,0,11.22,0,0
 36-46,0,0,11.36,0.96,2.93,0,18.54,120.64,0,0,13.29,0,0,0.88,0,1.79,0,0,10.57,36.54,0,0,45.16,224.09,0.84,0,0.63,0,0,8.93,0,1.26,387.62,5.93,60.61,0,9.16,0,8.48
 48-58,0,0,0,0,0.59,0.57,21.89,95.06,0,1.71,4.17,0,1.07,0,0,0,0,0,0,10.51,0,0.39,8.15,80.66,0.6,0,0,4.77,0,3.82,0,0,166.72,2.82,18.55,0,0.43,0,6.66
 60-70,0,0,0,0,0,0,26.18,89.08,0,0,12.14,0,0,0,0,0,0,0,9.64,4.41,0,0,9.22,37.99,0,0,0,0,1.53,0,0,1.17,157.12,0,12.69,0,9.61,0,0
 72-82,0,0,0,0,0.69,0.5,14.61,72.38,4.54,0,3.58,0,0,0,0,0,0,0,0,4.03,0,0.74,11.42,69.85,0,0,0,0,0,0.75,0,4.78,69.78,0,7.62,0,0,0,0
 84-94,0,0,0,0,0,0,29.4,82.45,0,0,10.63,0,0,0,0,0,0,1.01,0,9.54,0,0,12.83,36.34,0,0,0,0,0,1.17,0,0,132.25,0,5.37,0,3.97,0,0
 96-106,0,0,0,0,1.33,11.76,63.93,145.33,0,0.92,16.02,3.1,0,1.24,0,0,0,0.61,0,23.65,4.23,0,31.3,80.03,0,1.59,3.42,0,0,3.57,0,0,140.61,0,1.39,2.68,0.97,7.49,0
108-118,0,0,0,0,2.06,2.8,24.71,154.68,0.43,1.39,23.13,3.79,0,0,0.67,0.7,0,6.1,0,31.1,0.8,5.32,29.47,42.7,0.56,0,0.77,0,0,6.57,0,0,175.81,0,15.34,0,1.17,0,0
120,0,0,0,0,9.7,0,45.05,221.88,0,0,37.63,9.85,0,0,0,0,6.89,2.72,0,14.32,0,2.08,62.41,42.23,0,17.18,9.44,0,0,0,0,0,62.24,0,0,0,0,0,0
