stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,19.8,143.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,115.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,10.12,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.04,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.08,4.32,0,0,0,21.35,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,13.35,0,0,0,6.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.8,0,0,0,42.77,43.92,0,9.96,0,0,0,0,0,0,0,0
 14-21,0,0,1.25,212.8,1.17,0,0,0,2.76,0,0,0,0,3.18,0,1.62,0,0,0,0,3.34,8.39,0,1.37,28.9,0,0,0,0,1309.24,9.78,0,0,2.19,9.46,0,0,0,0,0
 24-34,0,0,1.44,303.43,0,0,19.51,0,18.02,1.23,1.42,3.13,0.82,1.13,0.77,9.07,0,0.68,7.68,0,11.85,57.36,0,16.51,239.78,0.73,14.25,0,0,5736.65,0,0,1.49,0.59,26.16,0,0,7.61,0,2.64
 36-46,0,0,0,159.46,0.88,0,34.61,0,80.12,1.23,8.58,0.56,0,0.95,0,32.67,0,0.57,5.06,8.19,11.22,80.55,0,1.17,221.36,2.17,28.69,0,0,7010.96,0,0.94,0,0,25.94,0,0,1.73,0,1.45
 48-58,0,0,0.4,237.28,1.99,0,67.79,0,87.89,3.96,8.02,4.82,0.78,1.06,0.55,14.81,0,0.97,0,13.19,21.89,37.31,0,5.06,150.42,0,6.65,2.73,0,4379.99,0,0,0,0,25.2,0,0,0.71,0,10.91
 60-70,0,0,0,298.39,0,0,48.67,0,67.06,0,6.08,24.38,1.71,0,0,9.6,0,1.02,0,0,23.29,20.25,0,0.59,87.68,0,8.81,0,0,3122.55,0,0,0,0,16.15,2.88,0,4.17,0,0
 72-82,0,0,0,334.58,0.91,0,49.6,0,40.36,4.17,4.63,68.97,1.23,0,0,26,0,0,0,0,12.16,9.85,0,2.29,95.14,0.61,10.56,2.3,0,1620.37,0,0,3.93,0,6.81,20.56,0,1.04,0.75,1.88
 84-94,0,0,0,833.11,6.66,0,26.96,0,113.72,6.8,16.18,244.13,0,0,0,87.26,0,0,0,0,10.55,34.2,0,0.81,47.81,0,24.27,2.15,0,4620.65,0,0,0,0,3.46,91.24,0,6.05,0,0
 96-106,0,0,0,876.2,3.76,1.23,36.3,0,80.13,0.75,13.3,295.44,0,0,1.78,57.75,0,5.19,3.42,1.3,26.18,24.59,1.88,5.53,102.01,0,15.48,1.05,0,2694.44,0,1.4,0,0,1.03,67.21,3.79,4.85,2.12,8.49
108-118,0,0,1.06,803.77,1.29,5.43,28.88,0,124.47,0,7.87,336.55,0,1.27,0.42,93.63,0,0,0.81,0,21.49,45.35,1.61,0,73.24,0.49,19.25,0,0,2729.38,0,0,0.55,0,0.93,67.18,3.63,0,4.38,4.17
120,0,0,0,479.45,0,0,77.17,1.1,39.52,0,12.37,141.12,0,0,9.27,32.63,6.89,0,0,0,4.89,17.67,0,1.86,82.72,5.14,3.06,0,0,1257.21,0,0,0,0,0,24.55,0,25.44,0,0
