stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,96.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.45,118.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.58,4.16,0,0,7.44,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.54,0,0,0,7.97,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,97.26,0,0,0,5.99,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.83,20.55,0.87,0,60.24,0,0,0,0,0,0,0,0,10.56,0,0,149.89,105.01,0,0,435.46,4734.18,8.91,0,0,1.19,0,0.83,11.98,1.78,0,551.19,215.73,0,0,0,0,976.99
 24-34,0,0,0,0,38.5,0.94,0,68.68,0,0,3.71,22.26,0,0.95,1.21,1.23,30.01,0,0,161.83,602.53,0,0,967.07,11165.46,3.08,4.02,1.3,0,0,11.04,0.71,0,1.01,108.71,936.18,0,0,11.51,0,2553.81
 36-46,0,0,0,0,10.22,0,0,39.18,8.38,6.72,7.63,531.38,0,0,1.16,10.87,31.83,0,0,6.65,1027.1,0,1.26,624.13,12147.22,1.15,0,2.33,0,0,5.46,0,4.07,0.59,1.25,1184.48,0,0,17.35,0,967.72
 48-58,0,0,0,0,51.15,0,0,235.17,2.59,1.27,2.34,1362.64,0,0,3.29,4.94,54.89,1.64,0,1.18,988.96,0,5.65,435.18,11828.18,1.51,3.11,5.03,0,0,4.37,0,1.48,6.89,1.11,803.97,0,0,6.81,0,634.67
 60-70,0,0,0,0,9.16,1.61,0,218.11,9.95,0.99,1.49,768.92,1.54,0,4.06,0,75.75,0,0,0,642.13,2.4,0.91,349.71,11775.85,0,0,2.88,0,0,3.31,0,2.14,4.45,0,146.08,0,1.31,0,0,456.39
 72-82,0,0,0,0,30.74,15.17,0,391.62,2.49,1.03,0,438.15,0.75,0,1.02,1.12,68.5,0.63,6.57,0,764.3,1.52,0,360.79,9853.15,0,0.91,9.53,0,14.85,2.62,0,0,0,0,57.69,0,1.77,3.97,0,402.88
 84-94,0,0,0,0,56.97,5.57,10.69,466.43,1.36,1.93,0,485.49,0,2.35,11.86,2.32,158.25,0.61,0,0,612.18,0,16.63,359.82,7348.28,0.64,2.78,5.38,0,8.79,2.11,0,5.19,0,0,148.68,0,1.38,11.65,0.63,482.43
 96-106,0,0,0.83,1.03,70.87,16.4,0,384.06,5.39,6.27,8.15,486.2,1.83,0,2.2,0,221.16,6.76,3.06,0,508.32,2.66,0,321.2,6001.92,0,0.74,1.46,0,13.39,8.81,0,3.86,0.6,0,18.69,0,0,5.35,1.12,461.58
108-118,0,0,0,0,27.58,1.48,2.97,213.54,4.38,1.11,7.03,548.66,5.39,0,2.96,2.14,385.09,2.18,1.5,0,496.44,0,7.59,263.54,7391.97,1.03,4.71,8.95,0,14.17,4.81,0,1.48,1.99,0,4.96,3.09,3.58,11.34,0,769.49
120,0,0,0,0,45.83,9.54,1.14,240.94,0,14.64,2.45,682.97,0,0,7.38,0,272.65,0,0,0,404.08,0,0,255.77,6077.53,0,0,1.5,0,0,6.71,0,10.68,0,0,0,0,1.54,8.05,4.52,340.71
