stage,neural,paraxial_mesoderm,somites,spinal_cord
 10-12,0,3.84,0,0
 14-21,0.86,0,1.25,0
 36-46,1.48,0,0,1.32
 48-58,5.2,0,0,0
 60-70,1.95,0,0,0
 72-82,0,0,0,5.8
