stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,67.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.62,0,0,0,17.69,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.07,0,0,0,11.47,0,0,0,0,0,0,0,0,0
 14-21,0,0,17.45,7.07,0,1.83,0,0,0,2.74,0,0,0,8.96,0,0,0,3.49,0,0,4.63,81.39,0,0,0,4.68,0,0,7.5,1.06,0,23.5,27.65,0,0
 24-34,0,0,3.37,5.96,0,28.01,0,0,0,1.82,0,0,1.95,1.39,0,0,0,13.06,0,0,3.35,280.21,0,1.58,0,0,0,17.54,0,1.89,1.04,1.31,31.62,0,7.8
 36-46,0,0,1.72,1.17,0,12.73,0,0,0.81,4.67,0,0,0,0,0,0,0,0.68,0,0,0,125.75,0.94,0,0,0,0,5.55,0,0,0,0,9.36,0,2.84
 48-58,0,0,4.84,0,0,32.56,0,0,0,10.03,0,0,0,2.63,0,0,0.58,7.76,0,0,4.11,76.15,1.89,0,0,0,0,6.07,0,7.36,0,0,8.44,0,5.34
 60-70,0,0,5.62,8.62,0,43.04,0,0.61,0,11.91,0,0,0,0,0,2.61,0,10.37,1.43,0,0.65,66.33,1.81,1.27,0,0,0,0,0,0,0,0,14.91,0,0
 72-82,0,0,1.49,9.51,0,39.27,0,0,0.59,2.08,0,0,0.81,0,0,0,0,6.38,0,0,0.9,25.89,0,0.77,1.28,0,2.24,5.31,0,0,0,0,0,1.34,2.88
 84-94,0,0,9.84,20.86,0,24.4,0,0,2.34,3.32,0,0,0,0.6,0.57,0,0.68,8.42,0,0,0,16.15,0.74,0,3.41,0,0,14.61,0,0,0,0,1.41,0,0
 96-106,0,0,0.77,7.94,0,18.93,0,0.59,0,6.02,0,0,2.51,0,0,0,0,8.97,0,0,0.89,17.14,0,0,1.8,0,0,8,0,0,0,0,0,0,9.1
108-118,0,0,8.38,13.01,3.37,12.34,0,1.33,0,3.12,0,0,0.51,0,1.25,0.65,0,13.59,0,0,0.6,11.56,0,0,0,0,0,3.08,0,0,0,0,0,0,6.5
120,0,0,21.95,25.59,0,20.52,1.75,14.97,0,4.51,6.22,7.69,9.71,0,0,0,0,20.12,2.21,2.76,4.96,95.93,0,0,0,0,9.96,1.17,0,0,0,0,4.36,0,0
