stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,20.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.14,0,0,0,10,0,0,0,0,0,0
 14-21,0,0,10.66,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,34.58,0,0,0,0,0,0,0,2.75,0,0
 24-34,0,0,0.62,0,3.28,0,0,1.88,0,0,0,0,0,0,10.52,0,0.91,514.42,1.98,0,0,0,0,0,0,128.59,0,0
 36-46,0,0,0.69,0,0.61,0,0,2.7,0,0.82,0,0,0,0,7.24,0,1.18,668.48,1.77,0,0,0,1.07,0,0,112.37,0,0
 48-58,0,0,8.46,0,7.13,0,0,14.75,0,0,0,0,0,0.54,18.51,0,5.36,706.92,0,0,0.51,0,3.87,0,0.55,51.99,0,0
 60-70,0,0,3.94,0,33.24,0,1.48,5.67,0,0,0,0,0,0,13.44,0.93,10.2,726.45,0,0,0.79,0,0,0,0,47.05,6.22,0
 72-82,0,0,2.98,0,134.07,0,0,23.3,1.34,0,0,0,0,0,29.49,1.44,0,1225.4,0,0,2.25,0,0,0,0,54.29,1.11,0
 84-94,0,0,3.88,0.64,135.52,0,0,9.43,0,0,0,0,0,0,4.63,0,3.85,1010.85,0,0,5.37,0,0,0,0,38.71,1.35,0
 96-106,0,0,3.92,0,122.3,0,0,2.36,3.04,0,0,0,3.42,0,10.78,0,1.91,982.92,0,0,8.64,0,3.2,0,0,18.81,3.72,1.91
108-118,0,0.71,3.72,0,128.16,0,0,13.48,1.07,0,0.69,2.23,1.9,0,27.2,0,0,1159.71,5.73,0,15.3,0,0,0.97,0,21.88,0,0
120,0,0,3.38,13.99,169.83,1.33,0,2.06,0,0,0,0,0,0,21.99,0,0,1864.65,1.08,5.02,16.62,0,0,0,0,27.42,0,0
