stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,vasculature
  3-4,26.61,493.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0
  5-6,10.1,61.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.2,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.16,0,0,0,0,0,0
 14-21,0,0,0,1.16,0,0,3.58,0,0,0,0,0,0,0,1.1,0,0,0,1.77,5.33,0
 24-34,0,0,0,0.84,0,0,7.64,0,0,0,0,0,0,0,1.5,1.45,0,0,3.12,13.26,0
 36-46,0,0,0,0,0,0,13.55,0,0,0,0,1.69,0,0,7.72,2.37,0,1.01,6.85,9.06,0
 48-58,0,0,0.44,0,2.71,0.52,7.68,0,0,0,0.41,2.92,0,0,3.21,1.61,0,0,0.74,14.41,0
 60-70,0,0,0,0,0.84,0,6.54,1.72,0,0,0,0,0,0,0,4.38,0,0,0.83,6.67,0
 72-82,0,0,0,0,0.57,0,9.61,0,0,0,0,1.42,0,0,3.38,2.27,0,0,2.01,5.6,0
 84-94,0,0,1.18,9.66,0,0,15.86,5.43,0,0,0,1.33,2.28,0,1.73,5.41,0,3.18,0,4.67,0
 96-106,0,0,0,0,2.51,0,4.85,4.28,0.63,0,0,0,0,0,14.16,9.47,1.55,1.46,1.05,0.68,0
108-118,0,0,0,0,1.03,0,3.08,3.69,0,0.63,0,0,0,0,0,6.22,0,0,1.68,6.83,0
120,0,0,0,0,0,1.09,2.04,5.58,0,0,2.98,0,0,1.01,0,1.26,0,0,0,1.17,1.54
