stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,glial,ionocyte,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,28.58,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.86,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.71,0,0,0,11.06,0,3.64,0,0,0
 10-12,0,0,0,0,8.28,0,0,0,8.79,0,0,0,0,0
 14-21,0,0.81,0.88,0,0,0,2.13,2.54,0,0,0,0,1.22,0
 24-34,0,0,0,0,0,0,0,0,1.92,0.77,0,0,0,3.08
 36-46,0,0,0,0,0,0,0,0,1.3,0,0,9.82,0,0
 48-58,0,0,0,0,5.04,1.1,0,0,7.14,0,0,0,0.81,0
 60-70,0,0,0,0,3.64,0,0,0,3.88,0,0,0,0,0
 72-82,0,0,0,0,3.76,0,0,0,4.19,0,0,0,0,0
 84-94,0,0,0,1.39,5.33,0,0,0,0,0,0,1.14,0,0
 96-106,0,0,0,0,0,0,0,0,8.43,0,0,0,0,0
108-118,0,0,0,0,1.82,1.65,0,0,8.22,0,0,0,0,0
