stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,4.22,0,1.82,0,0,0,0,0,0,0,0,2.15,0,0,0,2.37,2.86,0,0,19.22,0,0,0,1.07,0,424.79,3.36,0.9,1.91,0.97,0,0,0,0,0
 24-34,0,0,2.67,0,2.07,0,0,0,2.3,0,0,0,0,15.27,0,0,0.6,4.17,61.96,0,0,57.24,2.29,3.52,0.78,0,0,454.91,0,0,0,7.69,0,0,2.77,0,0
 36-46,0,0,1.24,0,2.77,0,0,0,3.71,0,0,0,0,9.5,0,0,0,5.98,67.97,0,0.59,46.06,0,0,0,0,0,530.08,0,0,0,5.88,0,0,0.68,0,4.22
 48-58,0,0,12.27,0,17.51,0,5.14,0.86,3.89,0.54,0,1.15,0,8.35,0,0,0,13.34,72.88,0,0.49,62.48,0,1.54,0,0,0,368.17,0,0,0,4.15,0,0,0,0,0
 60-70,0,0,4.59,0,1.15,0.65,2.4,0,6.11,0,0,0,0,12.19,0,0,0,14.01,88.21,0.69,0.67,19.34,0,1.17,0,0,0,323.41,0,0.62,0,7.76,2.13,0,0,0,0
 72-82,0,0,4.38,0.5,20.29,0,5.32,0,8.02,1.68,0.5,0,0,6.8,0,0,0,14.27,70.69,2.63,0,27.7,0,0.75,0,0,0,291.13,0,0,0,1.95,0,0,0.62,0,2.63
 84-94,2.29,0,10.96,0,9.11,0,7.89,0,7.43,0,2.07,0.8,0,6.16,0,1.52,0.57,26.26,60.69,0,0,18.65,0,0,0,0,0,442.94,0,0,0,0.75,2,0,0,0,0
 96-106,0,0,19.56,1.6,13.72,0,9.12,0,4.97,1.4,0,0,0,3.77,1.03,0.77,10.72,4.2,51.32,0,0,37.72,0,1.63,1.58,0,2.93,538.63,0,0,0,0,1.22,0,0,0,8.15
108-118,0,1.22,18.7,0,4.53,0,12.19,0,8.63,2.05,0,0,1.52,1.5,0,0.84,0,11.49,45.65,4.38,1.73,44.9,0,2.19,0.76,0,0,430.22,0,0.76,0,0,2.92,1.82,0,0.7,0
120,10.11,0,25.53,11.1,8.87,0,12.51,0,0,0,0,0,0,2.51,0,0,0,11.28,27.53,8.33,0,40.7,0,1.11,0,0,2.76,325.04,0,0,0,0,0,0,0,4.47,0
