stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste
  3-4,0,12.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.31,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.04,9.32,0,0,0,0,0,0,0,0,0,0,16.87,12.99,0,0,173.21,0,0,0,0,0,0
 10-12,0,28.76,62.59,0,0,5.07,0,0,0,0,0,0,0,199.08,50.77,0,0,1210.54,0,98.31,0,14.77,9.81,0
 14-21,0,0,0,2.13,4.72,0,0,0,0,0,0,9.96,3.99,28.12,5.53,0,0,19.2,117.1,0,0,10.4,18.95,0
 24-34,0,0,0,0,0,0,0,2.29,0.69,0.66,0,3.64,3.94,1.21,1.93,0.78,0.73,0,0,0,0,9.99,4.76,0
 36-46,0,0,0,0,0,0,14.75,5.25,0,0,0,0,2.67,5.16,0,0,0,0,0,0,1.49,0,0.59,0
 48-58,0,0,0,0,0,4.68,0,1.3,0,0,0,0.79,0,4.57,0,0,0,0,0,0,0,0,4.41,0
 60-70,0,0,0,0,0,4.25,0,2.59,0,0,0,0.72,0.81,3.29,0,0,0,0,0,0,0,0,3.25,0
 72-82,0,0,0,0,0,10.39,0,0,1.55,0,0,0,3.43,1.32,0,0,0,0,0,0,0,0,0,0.94
 84-94,0,0,0,0,0,0,0,1.09,0,0,1.91,2.03,0,1.38,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,4.8,0,2.34,0,0,0.58,0,0,4.52,0,0,0.79,0,0,0,0,0,0,0
108-118,0,0,0,0.49,0,6.54,0,0,0.49,0,0.47,0,0,4.35,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,2.98,0,0,0,0,0,7.91,0,0,0,0,0,0,0
