stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,iridophores,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,10.56,101.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,160.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0
  7-9,7.83,0,0,8.72,0,0,4.3,0,0,0,0,0,5.02,0,0,0,0,0,44.24,0,14.09,0,0,0,0,0,0,0
 10-12,0,0,0,8.11,0,0,8.23,0,0,0,0,0,0,0,0,0,0,0,16.76,0,9.8,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.94,0,0,0,0,0,1.91,0,0,0,0,0.91,0,0,13.86,1.38,0,0,54.31,0.86,6.88,0,0,0
 24-34,0,0,0,0,0,0,0.92,0,0,0,12.8,0.69,0,0,0,0,0,1.36,94.93,0,0,0,127.13,0,22.33,0,3.89,0
 36-46,0,0,0,0,0,0,5.92,0,0,0,3.09,2.26,0,0,2.63,2.87,0,0,121.15,0,0,0,131.65,0,36.99,0,0,0
 48-58,0,0,0,0,0,0,11.46,0,0,0,4.61,4.82,0,0,6.3,5.38,0,0,43.46,0,0,0,39.12,0,20.11,0,0,0
 60-70,0,0,0,0,0,0,22.68,0,0,0,0,30.4,0,0,0,3.96,0,0,30.94,0,0,0,58.35,0,3.44,0,0,0
 72-82,0,0,4.81,0,0,0,7.89,0.91,0,0,2.05,121.97,0,0,4.65,5.55,1.41,0,34.49,0,0,2.37,36.51,0,0,0,0.89,0
 84-94,0,0,2.39,0,0,2.9,9.82,0,0,0,1.74,198.01,0,0,0,2.6,0,0,31.63,0,0,0.63,54.83,0,0,0,0,0
 96-106,0,0,7.79,0,0,0,30.7,0,0.7,0,0,410.44,0,1.03,0,4.74,0,0,79.2,0,0,4.05,72.72,0,0,0.62,2.94,0
108-118,0,0,1.79,2.99,0.93,0,17.52,0.7,1.28,0.62,1.45,498.96,0,0,7.26,6.44,0,0.56,59.89,0,0,3.31,65.23,0,0,0,0,0.5
120,0,0,0,0,4.98,3.26,44.74,0,0,0,0,486.26,0,0,23.13,11.6,0,0,75.34,0,0,1.57,83.31,0,0,0,0,0
