stage,axial,blastomeres,endoderm,eye,glial,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,pronephros
  3-4,438.03,10500.24,0,0,0,0,0,0,0,396.83,0
  5-6,298.93,4880.69,6.55,0,0,16.53,52.26,8.9,13.26,86.64,0
  7-9,28.96,18.47,22.76,57.71,0,9.89,353.66,9.06,120.29,0,0
 10-12,0,0,0,10.36,0,0,58.15,0,12.37,0,10.16
 14-21,0,0,0,0,0,0,6.3,0,0,0,0
 36-46,0,0,0,1.38,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.2,0,0,0,0
 72-82,0,0,0,0,0,0,1.03,0,0,0,0
 96-106,0,0,0,1.48,2.09,0,2.55,0,0,0,0
108-118,0,0,0,0,0,0,1.15,0,0,0,0
120,0,0,0,1.03,0,0,14.27,0,0,0,0
