stage,endocrine_pancreas,neural,notochord,otic,periderm,spinal_cord
 10-12,0,11.8,11.52,0,0,0
 36-46,0,0,0,0,0,1.52
 60-70,0,5.79,0,4.18,0,0
 96-106,0,0,0,0,1.92,0
108-118,1.03,0,0,0,0,0
