stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,44.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.16,0,0,0,19.32,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,17.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.1,28.66,5.74,0,13.06,0,0,0,3.95,0.9,0.81,0.81,0,0,0,0,0,0,11.6,0,17.08,225.49,1.86,1.07,0,10.24,4.33,0.9,39,1.28,0.86,30.52,67.44,0,0,0,0,0
 24-34,0,0,0,3.68,0,0,37.45,0,0,0,8.77,1.08,0,1.13,0,0,0,0,0,5.41,16.24,0,5.99,305.09,0,1.86,0.85,0,4.94,0,0,0,0,0,83.84,0,0,0.81,0,0
 36-46,0,0,0,6.91,1.28,0,91.85,0,0,1.42,3.48,0,0,0,0,0,0,0,0,0,11.84,0.85,20.85,190.83,1.03,2.19,0,0,14.9,0,0,0.88,0,0,47.89,0,0,4.94,0,0
 48-58,0,0.54,0,0,0,0,130.56,0.8,0,0.46,16.53,0,0,0,0,3.14,0,0,0.66,0,24.79,0.39,3.28,97.33,0,0,0,0,3.31,0,0,0,0,0,25.83,0,0,2.23,0,4.45
 60-70,0,0.82,0,6.67,0,0,75.27,0,0,0,3.09,0,0,0,0,0,2.09,0,0,0,13.31,0,1.54,92.91,0,3.68,0,0,3.28,0,0,0,0,0,4.93,0,0,0,0,0
 72-82,0,0,0,3.76,1.31,0.76,40.62,0,0,2.51,7.36,0,0,0,0.72,0,0,0.63,0,0,4.21,0.87,1.4,31.07,0,5.86,3.5,0,0,0,0,0,0,0,4.91,0,0,1.24,0,0
 84-94,0,0,0,4.6,0,0,26.85,0,1.14,0,1.2,0,0,0,0.97,0,0,1.82,0,0,7.28,0,0.78,25.9,0,2.36,1.29,0,2.57,0,0,0,0,0,4.61,0,0,0.85,0,0
 96-106,0,0.9,0,0.67,0,0,11.35,0,0,0.65,3.86,0,0,0,0,0.85,0,0,0,0,6.42,0,0,15.49,0,10.59,0,0,7.47,0,0,0,0,0,4.41,0,0,1.45,0,0
108-118,0,0,0,0,0,0,7.73,0,0.95,0,0,2.68,0,0,0.63,0,0,0,3.23,0,10.8,0.94,0,34.41,0,0.59,1.47,0,0.51,0,0,0,0,0,0,1.05,0.8,1.17,0,0
120,0,0,0,2.23,1.06,0,13.77,0,0,0,0,0,0,5.1,2.88,1.1,0,0,1.5,0,3.43,15.95,0,64.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0
