stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.2,52.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.93,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.12,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7,0,0,0,9.62,0,26.53,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,8.11,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,48.01,3.71,0,0,15.49,0,10.92,3.03,0,0,0,8.72,0,0,0,0,0,0
 14-21,0,0,0,1.8,21.02,1.06,0,2.33,0,0,0,0,1.19,0,0,0,1.78,0,0,0,25.09,0,0,35.89,25.12,9.84,4.54,4.98,1.02,0,77.3,0,1.53,7.32,2.32,5.87,40.2,0,0,6.38,0,0
 24-34,0,0,0,2.36,7.64,0,0,33.05,0,0,0,11.95,0.63,0,0.86,0,8.76,0,9.55,1.14,133.91,4.3,0,102.61,263.16,38.37,27.57,5.36,0,0,213.37,0,0,7.49,1.69,4.52,46.29,0,0,25.61,0,0
 36-46,0,0,0,0,3.79,0,0,137.94,0,4.52,5.26,43.55,0.58,0,4.35,0.64,3.19,0,3.22,0,228.96,6.03,0,44.21,762.46,55.77,30.59,5.39,0,0,279.44,0,0,4.66,0,0,148.56,0,0,12.5,0,0
 48-58,0,0,0,0,6.3,0.89,0,216.38,0,2.64,2.81,76.67,3.7,4.49,3.52,0,4.43,0,1.79,0,243.53,12.09,1.91,43.31,457.19,46.61,14.4,4.24,0,0,272.68,0,0,0.93,0,0,121.33,0,2.12,29.09,0,9.09
 60-70,0,0,0.57,0,7.23,0,0,351.7,0,1.31,4.23,80.42,3.59,6,2.27,0,3.69,0,7.88,6.2,430.06,7.58,3.59,26.65,224.63,28.77,19.84,16.44,0,2.28,292.89,0,0,1.9,2.06,0,110.39,6.48,16.9,39.17,6.14,0
 72-82,0,0,1.09,0,14.22,1.51,0.52,240.76,1.29,12.25,4.94,72.87,3.74,0,6.2,0,6.99,0,11.97,2.86,442.13,20.46,10.63,17.71,267.41,15.63,20.85,5.95,0,0,232.52,0,0,2.07,0.64,0,34.73,12.29,11.26,63.47,11.37,2.8
 84-94,0,0,1.62,1.04,48.86,0,2.76,197.32,0,9.39,10.51,34.93,24.3,0.66,2.41,1.47,12.38,0.7,9.29,6.42,373.06,8.31,9.79,7.22,187.66,28.48,15.85,9.92,0,0,751.26,0,0,1.81,0,0,23.38,20.45,14.31,46.5,12.96,0
 96-106,0,0,11.17,0,55.95,8.87,0,117.17,0,13.92,8.8,72.23,21.56,0,13.63,3.24,19.6,0,13.24,9.82,284.98,15.32,2.46,18.87,148.73,21.09,43.68,12.35,0,6.32,676.35,0,0,1.93,0,0,17.34,45.35,16.95,51.94,6.67,5.1
108-118,0,0,8.3,0,73.61,2.21,6.61,140.67,0.49,13.61,2.61,77.55,26.72,0,4.8,0,18.04,2.36,9.17,23.26,261.1,37.82,8.02,5.2,186,35.06,20.08,3.25,0,12,425.68,0,0,1.05,0,0,6.39,33.68,23.42,57.46,5.81,4.66
120,0,0,12.16,0,63.97,0,3.62,109.09,2.57,1.25,0,101.86,6.46,0,7.84,0,7.62,0,5.14,22.77,169.09,9,0,1.86,135.25,14.14,44.34,5.94,0,9,245.66,0,0,2.38,0,0,30.22,20.8,6.32,69.15,6.13,3.97
