stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,heart,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vasculature
  3-4,22.1,188.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.46,173.23,6.55,0,0,0,0,0,0,0,0,0,17.71,0,0,0,0,0,0,0,0
  7-9,4.02,10.37,0,0,0,5.99,0,0,0,0,0,0,76.19,0,0,39.88,0,0,0,0,0
 10-12,0,0,0,0,0,10.57,0,0,0,0,0,0,75.64,0,0,16.28,0,0,0,0,0
 14-21,0,0,0,0,0.83,2.26,0,0,0,0,0.89,0.84,25.25,0,0,0,0,0,0,4.4,0
 24-34,0,0,0,0,0,4.02,0,0,0.97,0,3.3,0.62,10.38,0,0,0,0,0,0.66,0.66,1.15
 36-46,0,0,0,0,0,1.11,0,0,0,0,0.91,0,11.72,0,0,0,0,1,0,1.68,0
 48-58,0,0,0,0,0,2.53,0.45,0,0,0,9.2,0,3.93,0,0,0,0,0,0,2.96,0.4
 60-70,0,0,0,0,0,2.03,0,0,0,0,1.72,0,5.25,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.4,0,0,0,0,0.58,0,3.93,0.53,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.34,0,1.31,0,0,1.26,0,0.81,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,3.46,0,0,0,0,0,0
108-118,0,0,0,1.18,0,0,0,0,0,1.23,1.12,0.53,0.54,0,0,0,1.31,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,7.76,0,5.89,0,0,0,0,0,0,0,0
