stage,endocrine_pancreas,epidermis,eye,glial,gut,heart,mesenchyme,neural,notochord,olfactory,periderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,1.39,0,0,0,1.29,0
 24-34,0,0,0,1.24,0,0,1.3,11.17,1.57,0,0,2.97,0.82
 36-46,0,0,1.59,0,0,0,0.89,17.94,0,0,0,3.6,0
 48-58,0,0,2.54,1.14,0,0,4.25,16.99,0,0,0.85,4.09,0
 60-70,0,0,26.68,0,0,0,6.01,35.35,0,0,0,3.83,1.58
 72-82,0.64,0,14.18,0.69,0,0,1.16,20.7,0,0,6.09,0,0
 84-94,0,0,2.09,0,1.43,1.16,2.03,7.98,0,0,0,0,0
 96-106,0,0,3.65,0.59,0.7,0,0.78,4.61,0,0,0,0,0
108-118,0,3.1,13.9,0,0,0,1.49,7.55,4.4,1.14,0,0,0
120,0,0,0,0,0,0,0,36.54,0,0,0,0,0
