stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.65,121.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.26,103.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.82,12.33,0,8.59,0,0,0,28.96,0,0,0,0,0,24.87,0,0,0,0,0,0,0,0,0,0,0,180.12,4.1,0,0,87.52,0,10.86,0,0,0,0,0,0,0,0,0
 10-12,0,23.4,0,32.4,0,5.14,0,15.86,0,0,0,0,0,9.53,0,0,0,0,0,0,0,0,0,0,0,319.83,32.5,0,0,112.92,0,21.92,0,15.67,0,5.32,0,0,0,0,0
 14-21,0,0,0,1.07,24.64,4.61,0,4.74,0,0,0,1.21,0.97,0,2.87,0,4.38,0,0,0,0.88,9.76,1.89,0,5.8,67.41,2.16,0,0,1.75,0,294.75,11.96,1.78,9.19,36.5,0,0,0,0,0
 24-34,0,0,0.81,0.61,6.9,0.62,0,31.98,0,0.66,1.44,11.48,0,4.49,1.33,0.62,28.59,0.92,0,0,0.92,25.88,48.27,0,17.15,317.76,0,0.76,4.65,0,0,1166.88,0,2.08,7.19,54.73,0,0,14.97,0,0.63
 36-46,0,0,0,0,20.45,0,0,30.94,0,2.48,3.69,25.86,2.92,0,0,0,12.13,9.4,0,0,3.3,28.74,51.67,0,5.44,314.1,0,3.2,0.71,0,0,1549.54,0,1.77,0,61.87,0,0,15.49,0,0
 48-58,0,0,0.54,0,17.08,0,0,54.66,0,12.39,2.39,30.68,0,0,0.58,4.15,35.08,9.08,0.45,0,5.11,46.08,31.9,3.04,5.47,225.85,0,1.66,9.36,0,0,914.88,0,0.48,0,52.76,0,0,1.04,0,6.55
 60-70,0,0,0.89,0,9.68,0.67,0,85.07,1.58,10.44,1.8,29.51,0.64,0,0.7,4.92,2.96,18.78,2.76,0,6.44,67.25,8.16,3.34,5.16,195.14,1.36,4.76,5.53,0,0,775.76,0,0,0,24.71,0,1.27,2.13,0,8.59
 72-82,0,0,0,0,18.37,0,0.76,58.79,0,10.84,4.4,34.09,11.86,0,1.81,6.98,7.23,11.29,1.38,0,0.55,77.52,21.95,5.77,2.85,128.8,1.43,8.16,7.49,0,0,611.39,0,3.04,0,31.89,2.11,1.34,19.09,3.17,3.67
 84-94,0,0,0,0,30.67,0.58,0,54.28,0.98,11.81,2.05,23.29,20.63,0,2.85,2.58,10.54,21.22,0.59,0,6.13,61.09,26.66,2.09,3.24,106.29,0,7.12,8.81,0,1.59,1345.13,0,0.66,0,6.25,5.55,0.89,5.92,2.4,0
 96-106,0,0,0,0,48.69,9.19,0,58.82,0,16.71,0.81,27,29.82,0,0,10.44,5.12,16.07,3.42,2.81,0,46.34,23.2,4.48,11.18,77.3,0,10.49,5.1,0,0.83,1170.04,0,2.38,0,4.86,3.18,0.68,3.65,5.92,0
108-118,0,0,0,0,59.6,5.39,1.13,36.81,1.06,28.78,1.13,40.59,35.35,0,0,8.25,15.22,22.14,2.4,6.85,0.58,41.92,24.75,0,3.32,111.41,0.48,5.9,5.17,0,1.31,1022.08,0,1.38,0,14.48,4.95,1.89,2.4,1.09,4.3
120,0,0,11.35,0,82.44,5.08,0,96.6,1.99,25.6,0,19.26,25.5,0,0,7.85,13.06,12.73,0,0,0,8.18,27.88,0,6.4,150.77,0,1.5,0,0,0,760.72,0,1.86,0,7.07,2.83,2.68,0,8.22,0
