stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature
 14-21,0,18.46,0,0,0.83,0,0,1.1,0.97,0,0,0,0,1.95,0,1.91,27.29,0,1,0,0,0,4.01,0.84,4.63,0,0
 24-34,0,8.33,0,0,3.48,1.33,0,0,0,0,0,0,0,0,0,1.84,40.92,0.59,1.31,0.85,0,1.95,0,0,13.48,0,0.82
 36-46,0,0,0,0,4.6,0,0,0,0,0,0,0,0,3.65,0,0.75,64.42,0,1.45,0,0,0,0,0,14,0,0.6
 48-58,0.43,1.4,0,0,16.17,0.37,0,6.01,0,0,0,0,0,6.48,0,0.38,54.79,0,0,1.05,0,0,0,0,12.7,0,1.82
 60-70,0,0,0,0,17.71,1.18,0,0,0,0,0,0,0,5.47,0,0,46.16,0,1.81,0,0,0,0,0,7.37,0,0
 72-82,0,0,0,0,20.76,0,0,5.77,0,0,0,0,0,3.07,0,4.61,48.7,0,0,0,0,1.11,0,1.23,5.15,0,0.54
 84-94,0,0,3.44,0,3.21,0,0,1.9,0,0.75,0,0,0,2.34,0,0,24.2,0,0,0,1.53,4.15,0,0,4.83,0,0
 96-106,0,0.79,9.63,0,20.32,0,0.8,2.67,0,0,1.62,1.05,0,1.61,0,0,28.3,0,0,0.78,0,1.22,0,0,0,0,0
108-118,0,2.6,0.51,0.48,12,0.47,0,4.83,2.38,0.82,0,1.26,0.59,8.94,0.69,0,34.74,0,1.36,1.06,1.33,0,0,1.22,0.65,0.83,0
120,0,3.86,0,0,2.74,0,0,1.34,0,0,0,0,0,0,0,0,41.19,0,4.64,0,0,0,0,0,0,0,0
