stage,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,40.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,9.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.62,0,0,0,3.04,0,0,0,0,0,0,0,0
 14-21,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,21.57,0,0,0,0,0,0,2.63,0,0,0,0,0
 24-34,0,0,0,0,13.76,0,0,0,2.33,0,0,0,0,0,0,0,8.79,0.7,0,1.87,90.87,0,0,0.62,0,1.01,0,9.42,0,0,6.04,0,0
 36-46,0,0,0,0,40.91,0,0,0.63,29.01,0,0,0,0,0.91,0,0,7.74,0,0,0,133.63,0,2.71,0.66,0,0,0,8.47,0,0,0,0,0
 48-58,0,0,0,0,62.03,0,0,0,79.12,0.38,4.12,0.39,0,0.5,2.65,0,11.08,0,0.83,0.47,102.37,0,1.51,1.76,0,0,0,17.12,0,0,0,0,0
 60-70,0,0,0.71,0,72.47,0,0,0,97.43,0.96,0,0,0,0,0,0,12.17,0,0,0,76.87,0,2.36,2.98,0,0,0.62,9.47,0,0,0,1.06,0
 72-82,0,0,1.71,0,36.98,0,0,0.51,151.7,1.75,0,0,0,0,8.24,0,18.07,0.92,0,0.73,78.59,0,1.23,11.56,0,0,0,15.03,5.45,0,0,0.57,1.88
 84-94,0,1.11,1.63,11.01,49.63,0,0.6,0,170.45,4.51,0,0,1.06,0,8.88,10.43,16.5,0,0.65,0,112.64,0,0,12.98,0,0,0,13.46,2,0,0,3.27,0
 96-106,0,0,10.84,0,34.09,0.87,0,0,173.67,7.64,0.85,0,0,1.4,28.15,0.68,3.5,0,2.12,0,56.51,0,0,16.08,0,7.13,0,9.38,0,1.33,0,3.33,0
108-118,0,0,2.23,0,53.37,0,0.7,0,214.72,4.99,0.53,0,1.23,1.34,140.54,0,11.21,0,3.21,0,139.58,0.67,0,16.58,0,0,0,2.27,0.42,0.53,0.49,0,7.19
120,0,0,2.57,0,57.59,0,0,0,202.41,4.52,1.87,0,0,4.1,13.17,0,5.4,0,2.47,0,121.27,0,0,20.73,0,0,0,3.61,0,0,0,0,0
