stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,37.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.32,0,1.51,0,0,0,0,0,17.96,0,0,0,0,0
 24-34,0,0,0,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,339.63,0,6.42,1.32,0,0,0,0,63.39,0,0,4.85,0,0
 36-46,0,0,1.07,0,14.32,0,0,0,0,0,0.57,0,0,0,7.32,3.4,0,0.72,768.09,0,22.74,0,0,10.36,0,0,137.25,0,0,0,0,0
 48-58,0,0,8.32,0,101.24,0,3.69,0.44,6.46,0,0,0,4.84,11.87,0,12.77,0,1.33,1321.78,0,14.12,0,0,0,0,0,176.55,0,0,1.04,0,0
 60-70,0,0,2.72,0.77,208.28,0.9,1.14,0,12.38,0,0,0,0,0,0,6.53,0,1.76,1760.55,0,7.87,0,0,9.07,1.06,0,208.95,0,0.71,0,0,0
 72-82,0,0.95,12.03,3.47,296.32,0,0,0,21.91,0.65,1.42,0,0,0,0,14.79,1.23,0.78,1653.75,0,26.38,0.81,0.8,6.3,0,0,217.54,0,0.76,0.72,0.93,18.76
 84-94,0,0.84,8.51,10.75,203.34,3.35,2.61,4.06,22.02,0,0,0,1.25,0,5.22,13.47,0.86,1.47,995.25,0,6,7.38,0,0,0,0,130.87,0,0,0,0,0
 96-106,0,0,5.32,0,199,0,0,3.22,22.08,1.09,0,0,0,0,0,21.05,5.07,4.15,780.75,4.22,14.81,0,0.81,10.47,0,0.66,64.37,2.04,1.65,0.76,0,0
108-118,0,0,3.29,1.55,209.88,0,0,0,16.83,0.52,0,1.07,0,0,5.63,10.33,0,0,1054.39,0,10.32,0,0,1.76,0,0,54.63,0,0,0,1.03,0
120,0,9.18,20.69,3.82,168.76,1.18,0,4.18,19.2,0,0,1.75,0,0,0,51.78,9.18,0,1388.16,0,15.75,0,0,9.59,0,0,49.3,0,0,0,0,0
