stage,epidermis,eye,glial,mesenchyme,neural,olfactory
 60-70,0,0,1.54,0,1.43,0
 72-82,0,1.16,0,0,0,0
 84-94,1.59,0,0,0,0,0
108-118,0,1.07,0,0.55,0,0
120,1.49,0,0,0,0,3
