stage,axial,blastomeres,epidermis,eye,neural,periderm,vasculature
  3-4,0,310.91,0,0,0,24.46,0
  5-6,0,157.14,0,0,0,0,0
  7-9,13.13,5.33,0,0,84.5,0,0
 10-12,0,0,0,6.05,51.25,0,0
 14-21,0,0,2.13,0,4.02,0,0
 24-34,0,0,0.59,0,1.68,0,3.69
