stage,epidermis,erythrocytes,eye,glial,gut,ionocyte,lateral_line,mesenchyme,mucous,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,22.31,0,0,0,8.67,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,15.55,0,0,11.15,4.49,0,0,0,0,0
 14-21,5.21,0,0.99,0,0,11.55,0,0.9,0,3.3,0,0,0,100.56,0,0,0,0,2.62
 24-34,0.79,0,0,0,0.68,6.01,0,0,1.33,11.99,5.42,0,0,33.74,1.08,0,0,0,0
 36-46,0,0,0,0,0,9.89,1,0,0,3.25,14.48,2.14,0,11.61,0.74,0,0,0,0
 48-58,0.41,0,0,7.03,0,1.51,0,0,0,3.43,6.27,0,0,2.67,4.12,0,0,0,0
 60-70,0.66,0,6.52,0.88,0,0,1.78,1.87,0,6.73,8.88,0,0,19.81,0,0,0,0,0
 72-82,1.48,0,5.11,0,0.7,1.1,1.57,0.52,0,15.02,15.41,0.89,0,10.98,0,0,0,0,0
 84-94,1.02,1.7,9.28,1.05,0,0,9.05,2.65,0,13.42,44.89,1.78,0,7.03,0,0,0.6,0,0
 96-106,4.16,6.16,2.45,0,0.62,0,11.24,0,0,7.9,66.98,0,0,21.99,0,0,0,2.21,0
108-118,2.73,1.63,3.23,0,2.17,1.12,14.94,1.01,2.14,4.46,85.99,0,0,22.29,0,0.5,0,0,0
120,1.21,0,1.21,3.32,0,7.88,11.07,0,0,6.61,34.36,0,0,35.33,0,0,0,0,0
