stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,20.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.19,0,0,0,0,0,0,0,0,0,0
  5-6,20.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.18,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,6.52,0,0,0,0,0,0,0,0,0,0,0,53.06,0,0,15.02,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.01,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,1.28,4.94,0,0,0.86,0,0,0.92,0,23.3,3.83,4.46,0,0,0,0,0
 24-34,0,0,0,0,6.67,0.68,0,0,0,0,0,0,0,0,0,0,0,0,4.63,0,0,17.37,19.5,0,0,0,0.99,3.23,0,1.91,10.28,2.31,7.57,0,0,1.84,0,0.73
 36-46,0,0,0,0,9.82,6.97,2.91,0.65,0,0.56,0,2.07,0,0,0,0,0,0,8.59,0,0,12.36,28.47,0,0,0,0,3.71,0,0,21.11,0,6.15,0,0,0,0,0
 48-58,0,0,0,0,6.27,8.44,0,0,10.42,0,0,1.45,0,0,0,0,0,0.89,23.86,0,0,6.67,61.54,2.51,0,0,0,9.7,0,1.85,14.51,0,23.41,0,0.51,5.33,0,0
 60-70,0,4.37,0,0,70.11,9.94,0,2.62,108.7,0,0,0,0,0,0,0,2.6,2.31,37.05,0,0,3.43,64.61,0.67,6.8,0,3.93,10.77,0,0,6.45,0,7.37,0,3.16,2.1,0.77,0
 72-82,0,2.81,0,0,113.51,1.47,0.73,10.48,142.17,0,0,0,0.93,0,0,5.9,0,4.66,84.95,0,11.99,3.59,76.13,3.73,0,0,18.14,4.81,0,0,7.85,0,11.08,1.74,5.18,0,15.5,0
 84-94,0,1.67,0,0,100.08,10.82,0,0.7,130.27,2.58,0,0.78,14.07,0,0,0,0,8.41,73.08,0,6.62,8.19,88.45,6.4,0,0,12.33,16.25,0,0.94,8.58,0,8.54,0,12.06,7.61,17.88,3
 96-106,0,3.06,1.43,0,83,7.2,3.79,2.3,196.83,0,0,1.55,0.85,0,0,0,0,0,73.24,0,15.61,7.27,67.87,6.85,0.94,0,11.48,21.59,0,2.77,8.28,0,10.19,0,15.35,11.69,15.38,2.55
108-118,0,0,0.74,0.97,115.43,1.87,0,4.18,166.8,0.63,0,0,0,0.67,1.26,1.65,3.02,3.69,93.29,7.11,23.34,5.97,96.96,1.88,1.63,0,39.93,1.2,0,0,12.79,0,6.8,0,8.24,2.32,23.92,1.24
120,0,1.24,0,7.68,163.32,6.51,6.68,0,304.45,0,0,3.77,0,0,0,0,1.23,0,92.98,0,15.95,2.31,27.51,5.18,2.09,0,38.64,1.42,0,0,5.88,0,12.11,0,33.76,0,9.09,0
