stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,86.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,50.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.16,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.85,0,0,0,15.49,0,0,0,3.87,0,0,0,0,0,0
 14-21,0,2.52,4.24,0.88,0,0,3.47,0,0,0,0,0,0,0,4.69,0,0,6.64,31.18,0,0,0,0,0,3.06,0.97,0.96,17.96,0,0,4.65,0,0
 24-34,0,2.56,1.61,6.09,0.85,1.79,4.13,0,0,6.6,0,2,0,2.55,66.84,0,0,18.14,127.96,1.59,0,2.12,0,0,0,0,0,31.12,0,0,35.03,0,0
 36-46,0,2,0.6,14.56,1.15,2.54,14.18,0,0,0,0.91,0,0,0,147.94,0,0,21.68,90.75,8.63,0,0.7,0,1.69,3.29,0,0,64.12,0,0,25.77,0,0
 48-58,0,0.39,0,0.39,0,2.64,31.11,0,0.52,0,6.38,0.49,0,0,189.15,0,1.81,14.93,50.81,5.59,0,4.58,0,0.59,0,0,0,26.22,0,1.62,5.62,0.5,2.18
 60-70,0,3.61,0,9.64,0,18.3,32.73,0,2.21,0,4.8,0,0,0,387.44,0,11.21,15.65,33.36,4.2,0,4.28,0,0.71,0,0,0,12.19,0,1.8,20.87,2.04,0.69
 72-82,0,0,0,10.93,0,12.45,37.48,0,2.87,3.07,3.82,1.06,0.62,1.18,353.4,0.78,26.28,12.91,27.65,8.77,1.49,1.89,0,2.88,0,0,0,8.01,1.36,12.59,16.82,1.37,0
 84-94,0,3.4,0,27.9,2.49,9.96,21.25,0,8.34,4.36,13.16,2.44,0,0,301.88,0,12.32,13.81,25.95,12.61,0,2.02,0,1.31,0,0,0,1.9,0,14.54,16.26,7.52,0
 96-106,0,3.25,0,2.99,0,1.01,15.74,1.35,4.64,0.87,2.63,0,0,0,242.6,0.76,4.98,3.64,33.69,8.87,0,1.19,0,2.69,0,0,0,0.63,0,2.83,10.66,3.45,0
108-118,0,0.9,0,6.58,0,6.39,12.35,1.76,4.7,3.73,7.58,0,1.51,0,185.98,0,10.07,2.77,19.35,9.62,0,2.01,0,8.27,0,0,0,0,0,0.67,3.51,5.64,0
120,0,2.94,0,6.88,0,3.49,16.82,0,0,1.01,8.53,0,1.42,0,208.67,0,5.9,7.87,26.28,12.52,0,1.98,0,7.72,0,0,0,4.53,0,10.35,18.66,1.43,0
