stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.85,425.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.68,0,0,0,0,0,0,0,0,0,0
  5-6,14.25,222.11,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,10.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.46,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.1,6.95,0,0,9.36,0,5.09,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.46,0,0,0,7.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.74,0,0,0,21.24,0,0,0,13.47,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,0,11.15,1.2,0,2.07,0,1.5,1.01,0,0,0,0,0,0,0,0,2.12,0,0,0,29.21,0.81,1.55,0,0.8,0,7.63,0.9,2.5,0,3.17,5.72,0,0,7.51,0,0
 24-34,0,0,0,3.16,1.88,0,0,5.31,0,0.94,0,0,0,0,0.88,0,0,4.02,0,0.73,0,0,3.28,23.47,0,4.69,0.63,0,0,19.52,0,2.51,0,0,6.59,0,0,15.3,0,0
 36-46,0,0,0,0,3.03,0,0,0.76,0,3.64,0,0,2.05,0,0,0,0,0,0,2.66,0,0,1.34,25.13,0,5.45,0,0,0,47.08,2.15,1.55,0,0,2.96,0,0,4.79,0,0
 48-58,0,0,0,0,4.54,0,0,4.47,0,2.23,0.49,0,0,0.73,0,0,0,0.86,0,3.41,0,0,0,22.81,2.65,5.57,0,0,0,19.64,0,0.55,1,0,1.77,0,0,3.61,0,0
 60-70,0,0,0,0,2.84,0,0,4.06,0,7.39,0,0,0,1.15,0,0,1.31,0,0,1.18,0,0,0.75,8.47,0,1.37,0,0,0,38.6,0,0.93,1.58,0,2.66,0,0,4.66,0,0
 72-82,0,0,1.35,0,0.72,0,0,3.01,0,6.45,4.64,0,2.15,3.05,0.68,0,0,0.96,0,6.65,0,2.07,0,11.56,0,4.81,0.51,0,2.2,10.34,0,0,0,0,0.94,0,0,18.02,1.58,0
 84-94,0,0,3.36,0,3.58,10.39,0,2.87,0.72,3.51,3.83,1.95,0,11.83,0,0,0,0,1.74,8.88,0,3.55,0.8,12.3,0,8.64,0.74,0,0,41.18,0,0,0,0,0,0.97,0,12.49,0,2.12
 96-106,0,0,1.56,0,4.1,0,0,6.62,0.59,6.28,9.03,0,0.86,6.38,2.54,0.77,1.15,0,0,3.92,1.11,0,1.76,8.22,0,12.8,0.94,0,0,44.72,0,0.68,0,0,0,0,0,17,0,0
108-118,0,0,0,0,7.69,0,0,1.13,0,5.44,3.65,0,1.35,8.39,0,0.92,0,0.45,0,8.43,0,0,0.55,5.27,0,4.59,2.09,0,0,20.31,0,1.09,0.47,0,0,0,2.99,18.01,0,0
120,0,0,0,0,8.64,0,1.07,0,3.9,1.61,9.27,0,2.27,25.51,1.45,0,0,0,0,10.53,0,10.27,5.14,8.09,0,7.48,0,0,0,58.04,0,1.22,0,0,2.96,0,1.54,38.52,0,0
