stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,lateral_line,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,xanthophores
  3-4,11.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.59,0,0,0,0,0,0,0,0,0,0,0,0,7.67,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0,0,0,0,0
 14-21,0,0,1,0,0,0,1.11,0,0,0,0.88,0,5.12,2.02,0,0,0.88,0,0,0
 24-34,0,0.77,0,0,2.13,0,0,0,0,0,0,0,13.65,0,0,0,4.31,0,1.59,0
 36-46,0,0,0,0,2.01,0,0,0,0,0,4.34,0,7.73,1.22,0,2.7,0,0,0,0
 48-58,0,0,0.41,0,3.92,0,6.97,0,0,0,0.48,0,6.89,0,0,8.56,2.69,0,0,0
 60-70,0,0,0,0,16.77,0,2.25,0,0,0,4.58,0,7.75,0,0,2.95,4.64,0,0,0
 72-82,0,0,3,0,11.91,0,3.18,0,0,0.64,3.46,3.53,13.14,4.5,0,3.62,6.03,0,0,0
 84-94,0,0,1.12,0.64,4.2,0,0,0,0,0,1.27,0,0,0,0,2.75,2.68,0,0,0
 96-106,0,0,1.6,3.96,8.98,0.57,1.93,0,0,0,8.14,0,7.94,0,0,1.84,0,0.88,0,0
108-118,0,0,0.55,0,20.26,0,3.04,1.91,1.46,0,1.58,6.85,9.07,0.81,0,6.19,0,0,0,0.59
120,0,0,12.19,0,35.61,0,12.81,0,0,0,0,0,45.23,0,0,15.94,0,0,0,0
