stage,eye,mesenchyme,neural,olfactory
 36-46,0,0,0,47.68
 48-58,0,0,0.91,4.32
 60-70,3.74,0,0,38.45
 72-82,0,0,0,56.99
 84-94,0,0,0,85.9
 96-106,0,0,1.52,194.9
108-118,1.74,0,0,118.87
120,13.77,1.83,0,20.51
