stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,28.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.54,114.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.35,0,0,0,9.68,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.56,0,9.83,0,0,0,0,0,0,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31,0,0,12.99,0,0,0,0,0,0,0
 14-21,0,0,0,0,43.51,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,4.08,0,1.1,2.09,0,0,0,0,0.86,0,0,0,0,0,0
 24-34,0,0,0,1.3,122.51,0,0,1.55,1.76,0,3.44,0,0,0,0,0,0,27.96,0,16.41,1.44,0,6.04,19.77,0,7.99,7.53,0,0,5.57,5.03,0,2.12,0,0,6.58,0,0
 36-46,0,0,0,0,77.82,0,0,0.64,0,0,5.37,0,0,0,0.72,0.97,0,18.96,0,31.33,1.89,2.26,0.92,26.25,0,10.08,6.14,0,0,0,0.89,0,4.45,0,0,5.11,0,0
 48-58,0,0,0,0,128.45,0,0,6.7,16.82,0.4,0.51,0,0,0.66,6.6,9.72,0,24.31,2.39,28.33,1.02,0.51,2.62,27.59,0,4.64,23.19,0,0,1.4,0.4,0,10.98,0,0.61,5.79,0,2.2
 60-70,0,0,0,0,194.92,0,0,13.58,17.98,2.32,1.81,0,0,0,1.4,10.77,0,31,0,71.4,5.08,0,2.94,20.59,0,2.34,5.9,0,0,6.37,0,0,1.19,0,0,4.14,0,0
 72-82,0,0,3.7,0,160.91,0,0,14.55,14.14,4.92,2.53,0.65,0,2.32,4.51,11.76,0,23.19,0,142.11,0.49,3.86,8.27,32.12,0,9.02,38.93,0,1.1,8.04,1.7,0,1.31,1.92,0.52,7.98,2.25,0
 84-94,0.62,0,0.81,0,307.48,0,0,14.15,29.27,3.22,8.22,2.05,0,0,2.24,23.98,0,47.5,0,87.36,3.91,0,4.01,13.38,0,24.55,34.24,0,5.06,32.45,6.92,0,0,1.15,0,0.6,3.29,0
 96-106,1.12,0,2.29,0,618.86,2.52,0.98,7.04,98.84,2.56,13.37,4.45,0,0.61,0,28.69,0,50.42,0,164.77,13.44,2.94,3,78.08,1.15,36.55,48.58,0,0,51.47,4.03,0,7.72,4.22,0,6.97,1.22,8
108-118,0,0,3.44,0,462.43,1.22,0,9.33,78.34,7.94,1.75,3.81,0,0,3.94,20.19,1.34,46.16,1.6,203.38,5.25,0,5.04,59.73,0,27.8,60.57,0,0,54,3.89,0,0,5.89,0,3.72,0.97,2.73
120,0,0,5.75,0,323.63,0,0,13.95,62.51,1.29,0,0,0,0,1.28,17.42,0,23.88,13.07,60.39,11.34,0,2.56,94.14,0,35.04,48.34,0,0,45.61,0,0,0,1.32,0,4.5,0,0
