stage,blastomeres,erythrocytes,eye,gut,mesenchyme,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,12.14,0,0,0,0,0,0,0,0,0
  5-6,8.12,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,14.32,3.96,0,0,0
 24-34,0,0,1.07,0,0,1.5,0,0,0,0
 36-46,0,0,1.54,0,0,1.57,0,2.38,0,0.71
 48-58,0,0,0.71,0,0,0.49,0,0,0,0
 60-70,0,0,0.67,1.86,0,0,0,0,0,0
 72-82,0,0,0.51,0,0.65,0.55,0,0,1.14,0
120,0,1.6,0,0,4.35,10.27,0,0,0,0
