stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,20.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.01,0,0,0,8.27,6.32,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.68,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.07,0,0,4.9,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,22.44,0,0,0,20.51,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.78,0,0,0,0,0.98,0,0,0,0.99,0,0,0,0,0,0,0,1.81,2.06,0,0,0,0.91,0,0.97,0,0,0,0,0,0,0
 24-34,0,0,0,3.17,0,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0,0,8.37,0,3.96,0,0,10.02,0,0,0,0,2.84,0,0,1.64,0
 36-46,0,0,0,15.35,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,18.59,0,9.07,0,0,49.78,0,0,0,1.49,0.67,0,0,1.17,0
 48-58,0,0,0,2.77,0,2.21,0.47,0,0.4,0,0,0,7.57,0,0,0.59,2.83,1.24,0,0.93,29.98,0,0.86,0,0,87.66,0,0,0,0,2.44,0,0,0,6.72
 60-70,0,0,0,2.9,0,2.91,0,0,5.16,4.11,0,0,0,0,0,0,7.73,0,0,0,18.18,0,0,0,0,123.3,0,0,0,0,1.57,0,0,1.73,0
 72-82,0,2.87,0,3.74,0.54,2.63,5.97,0,0,0,0,0,4.38,1,1.59,0,4.34,1.34,1.08,0,18.49,0,4.25,2.8,0,102.26,1.65,0,0,0,0,0.81,0,3.17,0
 84-94,0,1.53,0,6.09,6.28,2.35,3.02,0,2.94,0,0,0,0.86,1.59,0,0,11.71,1.38,0,0,14.11,0,0.58,0,0,179.15,0,0,0,0,1.48,2.28,1.11,0,0
 96-106,0,8.7,0,32.63,0,27.34,5.62,0,0,10.21,0,0,10.57,0,12.4,0,1.97,2.27,0,0,20.92,0.58,0.66,0.79,0,288.4,0,0,0,0,1.81,9.12,0,2.1,0
108-118,0,2.99,0.74,20.25,0,9.48,2.57,0,2.52,1.37,0,0.72,7.41,2.94,0,0,4.76,1.55,1.19,0,22.62,0,3.64,0.72,0,163.55,0,0,0,0,0,4.18,0,0,0
120,0,0,0,26.48,2.68,0,2.34,8.81,1.39,5.09,0,0,4.64,0,0,0,1.5,1.37,0,0,28.27,0,5.29,0,0,196.23,0,0,1.56,0,14.56,6.16,0,10.03,0
