stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,7.87,52.19,15.9,0,37.65,0,0,0,15.76,2.05,0.98,1.75,0,0.84,0,0,0.97,0,24.68,0,0,34.16,458.05,10.69,1,5.62,1.84,0,10.75,0,34.97,2.94,4.61,29.89,166.31,0,0,1.26,0,0
 24-34,0,1.44,28.29,2.51,0,101.5,0,0,0.63,22.33,0.67,0,2.38,5.02,2.95,0,0.65,1.57,5.19,54.92,1.03,0,27.81,1391.74,6.1,11.34,11.75,0,0,38.26,0,2.33,2.2,0.87,7.18,315.52,0,0,17.97,0,3.24
 36-46,0.95,0,14.28,0.98,0,157.04,0,1.14,4.39,52.41,0,0,1.2,6.97,8.7,0,1.28,0,0,98.58,1.99,5.01,18.43,1871.13,3.66,8.8,6.26,0,7.92,39.8,0,0,0.67,0.67,0,456.21,0,1.23,12.87,0,2.19
 48-58,0,0,24.1,0,0,441.71,0,3.41,2.74,93.29,0,0,0.42,8.56,16.51,2.34,0,3.6,3.94,103.69,1.37,1.93,11.55,1877.31,11.68,8.39,3.8,0,0.61,11.88,0,0,7.87,0,0,424.21,0,0.84,11.18,0,13.5
 60-70,0.86,0,11.68,0.67,0,712.38,0,18.29,8.7,81.25,0.57,0,1.19,8.85,1.24,1.14,2.51,4.02,0.63,149.92,0,0.63,11.44,1943.54,3.63,18.45,5.5,0,1.9,19.69,0,0,0,0,0,340.29,0.61,3.12,5.61,0,18.58
 72-82,2.44,0,19.2,7.76,0,626,1.84,13.29,2.86,94.99,5.22,0.55,4.6,4.31,1.13,3.11,3.42,7.04,6.58,212.24,7.62,2.94,16.95,1570.51,0.58,8.89,15.83,0,0,28.97,0,0,3.68,0.79,0,215.98,3.17,6.51,8.02,1.22,0.55
 84-94,1.75,0,40,31.36,0,520.59,0.7,5.58,5.79,77.52,9.29,0,0.8,19.62,3.36,2.12,5.89,0.57,7.66,178.78,7.24,7.7,31.99,1242.97,9.66,8.84,16.24,0,1.48,67.08,1.4,0,3.38,0,0,156.7,5.63,2.08,13.45,4.35,0
 96-106,3.75,0,28.87,47.74,0,539.35,3.7,2.63,3.57,103.5,14.57,0,1.57,20.8,4.16,2.83,4.26,1.58,12.88,204.63,10.68,11.71,9.94,874.55,3.01,25.2,14.09,0,1.28,46.71,0,0,0,0.57,0,79.15,3.58,5.04,39.49,12.17,7.33
108-118,0.41,0,55.16,15.67,6.84,491.57,0.51,5.47,21.54,128.76,5.1,0,0,16.2,8.65,9.49,1.95,2.51,12.22,153.52,22.79,8.43,12.62,1157.22,2.15,16.5,24.02,0,2.03,73.72,0,0,1.08,0,0,53.76,7.48,1.56,37.4,8.89,14.07
120,2.94,0,95.56,16.85,0,351.31,0,4.37,2.17,123.24,5.15,0,0,27.03,5.95,4.7,4.41,1.1,7.13,174.98,0,4.87,11.4,2137.36,1.29,75.27,38.14,0,6.27,26.66,0,0,15.87,0,0,69.82,1.98,0,17.13,4.49,3.17
