stage,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29,0,0,0,0,0
 14-21,2.77,17.63,0,0,0,0,0,0,1.81,0,0,0,0,1.7,0,0,1.35,0,1.08,0,10.07,0,0,0,0,0
 24-34,6.6,22.17,0.77,1.29,0,2.08,0,0,1.86,0,0,1.53,0,0.68,0.71,0,17.14,0,0.75,0.73,82.56,2.49,0,0,0,0
 36-46,0.63,17.27,3.04,5.6,0,1.6,0,1.14,0,0,0.56,5.5,0,0,1.36,0,6.4,0,3.91,0,101.35,2.51,0,0,0,0
 48-58,0,39.77,6.6,9.71,0,0,0,0,0,0,2.72,0,2.55,1.98,3.73,0.4,9.78,1.33,0,2.6,79.56,1.05,0,0,0,0
 60-70,0,54.6,2.93,8.47,1.14,0,2.68,0,0,0,2.83,0,0,0.66,1.01,0,6.76,0,0,2.68,77.8,0,0,0,0,0
 72-82,0,46.48,0,8.88,1.75,0,0,0.9,2.34,0,1.79,1.03,0,3.87,5.18,0,8.24,0,3.47,1.63,52.02,0,0,0,0,0
 84-94,0,52.91,5.82,14.58,0,3.38,0,1.02,2.5,0,9.13,0,0,1.91,6.52,0,8.62,0,2.58,2,87.37,0,0,0,0,0
 96-106,0,100.77,8.43,17.95,7.17,0,0,3.42,1.35,0,5.18,0.6,0,2.6,2.95,0,8.54,0,9.1,0,123.12,0,0.8,0.77,3.96,1.28
108-118,0,87.16,1.78,24.63,1.93,0.74,0,0,4.16,0.55,3.36,0,0,1.74,1.72,0.87,10.39,0,3.76,4.45,92.41,0,1.73,0,1.05,0
120,0,125.43,0,65.15,2.04,0,0,1.57,3.12,0,1.77,0,0,0,2.93,0,3.22,0,11.9,1.86,78.48,0,0,0,0,0
