stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.5,80.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.91,345.68,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,30.22,15.57,0,0,25.61,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,30.26,5.67,0,0,0,9.58,0,0,0,0,0,28.72,0,0,0,0,0,0,0,0,0,0,162.03,51.76,0,0,508.35,0,0,4.81,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.59,0,0,0,0,0,0,0,0,0,3.86,0,0,0,0,0,0,0,0,0,0,1407.05,0,0,0,91.78,0,0,0,0,3.14,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.68,0.81,2.02,0,5.91,0,0.86,0,0,0,0,0,0,0,0,2.26,0,0,2.15,3963.77,11.64,0,22.06,1.65,0,0,0.91,4.27,1.37,4.45,7.12,152.61,0,0,3.01,0,0
 24-34,0,0,0.96,5.49,2.9,27.96,0,0,0,3.99,0,0,0,0,0,0,0,0,5.86,0,0,3.21,5210.49,6.73,0,51.46,0,0,4.84,0,0,1.08,2.33,2.95,172.07,0,0,13.36,0,2.6
 36-46,0,0,0,5.93,0.76,13.82,0,0,0,10.66,0,0,0,0.69,0,0,0,0,11.7,0.95,0,4.17,5032.41,0,0,39.82,0,0,9.91,0,0,0.94,0,0,228.12,0,0,0.84,0,4.93
 48-58,0,1.29,0,13.83,0,114.53,0,0,0.58,48.88,0.4,0,0.6,1.28,0.37,0,0,5.51,11.8,0,0.49,6.45,4624.24,0,0,14.88,0,0,2.06,0,0,0,0.96,0,296.58,0,1.28,2.66,0,9.16
 60-70,0,0,0,3.07,0,73.42,0,0,0,38.82,0,0,0,0,0,0,0,0,9.9,0,0,1.26,4139.44,4.59,0.98,12.63,0,0,3.15,0,0,0,0,0,196.85,0,0,6.63,0,8.53
 72-82,0,0,0,17.72,2.6,130.59,0,0.78,2.27,49.46,0,0,0.75,3.43,0,0,0,0,20.33,0,0,0.54,2547.28,1.23,1.09,22.88,0,3.03,0.53,0,0,0,0,0,79.4,0,0,8.05,0.77,0
 84-94,0,0,0,16.58,0,148.59,0,0.59,3.53,52.06,0,0.77,1.57,3.49,0,5.39,1.88,0.68,27.12,0,0,0,1797.3,0.89,0,12.14,0,0,3.03,0,0,0,0,0,73.33,1.86,1.07,4.85,0,0
 96-106,0,0,0,33.92,8.03,91.32,0,2.99,4.03,46.1,0,0,1.98,1.59,1.77,0,3.2,11.61,15.93,0,0,0.87,1173.11,0,0,13.08,0,2.17,8.55,0,0,0,0,0,32.74,0,0,6.66,0.61,15.01
108-118,0,0,0,9.18,0.76,69.81,0,0,0.79,55.34,0,0,0,0,0,0,0,0,11.07,0,0,6.64,1557.86,0,0,7.67,0,0,1.59,0,0,1.25,0,0,11.65,0,0,0,1.72,0
120,0,0,0,0,0,177.03,1.43,0,12.74,99.49,0,0,0,0,0,0,0,7.47,16.83,0,0,3.21,2402.41,10.24,0,18.76,0,0,0,0,0,0,0,0,14.99,0,0,0,0,0
