stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,spinal_cord,vasculature
  5-6,14.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.34,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,19.7,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,1.74,0,0,0.8,0,0,0.69,1.05,2.1
 36-46,0,0,0,0,2.06,0,0,1.73,0,0,2.58,0,0,0,0.73,0
 48-58,0,0,0,0,0.38,0,0,0.51,7.07,0,2.86,0,0,0,2.31,0
 60-70,0,0,0,0,1.91,2.86,0,5.05,0,0,0.67,0,0,0,0,1.17
 72-82,0,0,0.9,0,0.8,0,0,0.93,0,0.79,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.82,0,0,0,0,0.61,0,0,0,0,0
 96-106,0,0,0,5.69,0,0,0,10.11,0,0,0,0,0,0.59,0,0
108-118,0,0,0,3.72,0,0,0,0,0,0,0,0,0.95,0,0,0
120,0,0,0,1.74,0,2.39,0,0,0,0,0,2.7,0,0,0,0
