stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,37.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,0,8.64,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21,5.8,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,2.28,0,0,0,0,0.81,0,0.83,0,0,0,0,0
 24-34,0,0.91,0,0,0.87,0,0.76,0,0,0,0,0,0,0,7.02,0,2.87,4.47,0.94,0,0,0,0,1.32,0,0,0,0,0
 36-46,0,5.25,0,0,0.78,2.25,0.63,4.75,0,0,0,0,0,0,8.93,0,2.7,6.17,0,0.81,0,9.77,0,0.84,0,0,1.38,0,0
 48-58,0,1.23,0,0,1.66,0,0,0.7,0,0.41,0.47,0,0,0,9.56,0.84,2.31,2.85,0,0,0,3.08,0,0.53,0,0,2.72,0,0
 60-70,0,0,0,1,0,0,0,0.6,0,1.29,0,0,0.87,0,5.42,3.56,2.11,10.31,1.13,0,0,0.82,0,5.17,0,0,5.89,0,0
 72-82,0,0,0,0,0.5,0,0,0.73,0.72,0.73,0,0,0,0.72,6.36,0,0,3.77,0,0,0,0,0,0,1.63,0.81,0.75,1.14,6.66
 84-94,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,3.96,0,0,0,0,0,0,1.56,0,0,0,0,2.14,0,0
 96-106,0,0,0,0,13.88,0,0,0,0,0,0,0,1.98,0,2.35,0,0,0,0,1.43,0,0,0.82,0,0,1.49,3.06,0.63,0
108-118,0,0.58,2.19,0,0.55,0,0,2.12,0,0,0,0,0,0,10.69,0,0,0,0,0,0,1.78,0,0,0,0,0,0,0
120,0,1.39,0,0,0,0,3.73,0,1.18,0,0,1.72,0,0,27.35,0,0,2.41,0,0,0,0,0,0,0,0,1.54,0,0
