stage,blastomeres,epidermis,eye,glial,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,pronephros,spinal_cord,vasculature
  3-4,14.44,0,0,0,0,0,0,0,0,11.57,0,0,0
  5-6,9.25,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,16.93,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.99,0,0,0,0,0,0
 24-34,0,0,0.68,0,0,0,0,0.88,0,0,2.17,0.72,0
 36-46,0,0,0.78,0,1.26,0,0,19.6,0,0,0,1.91,0
 48-58,0,0,9.73,0.46,0.56,0,0.54,25.62,0,0,0,0.67,0
 60-70,0,0,1.78,0,0.7,0,0,20.24,0,0,0,0,0.7
 72-82,0,0,9.15,0,1.51,0,1.23,11.11,0,0,0,2.25,0
 84-94,0,0,4.21,1.07,0,0,0,7.54,2.78,0,0,0,0
 96-106,0,0.63,0,0,0,1.88,0,3.5,0,0,0,0,0
108-118,0,0,3.58,0,0.74,0,0,14.63,0,1.29,0,0,0
120,0,0,2.33,0,0,0,3.16,39.91,0,0,0,0,0
