stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,103.71,1143.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.11,0,0,0,0,0,0,0,0
  5-6,37.08,625.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.21,0,0,0,0,0,7.22,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.98,0,0,0,9.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.4,0,0,0,0,0,13.77,0,0,0,0,0,0,0,0,0,0,0,79.67,0,0,0,6.31,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.2,0.98,0,9.53,0,0,0,2.37,1.08,0,0,0,0,0.87,0,10.49,0,0,0,0,1.26,48.88,0,0,0,0,0,1.11,0.9,0,6.54,0,0,0,0,0
 24-34,0,0,0.8,1.44,6.89,1.49,0,22.12,0,0,0,2.13,0.67,0,0,0,1.96,0,2.07,1.46,1.9,10.05,6.58,0,1.4,104.16,0,1.41,1.31,0,0,24.48,5.06,0,8.54,0,0,5.35,0,0
 36-46,0,0,0,0,12.42,0,0,29.8,0,0,0.57,12.85,0.61,0,0.57,0.96,0.66,0.65,0.57,8.72,0,15.38,1.68,0,4.22,126.94,0,1.86,3.86,0,0,35.91,3.9,0,25.16,0,0,2.52,0,8.06
 48-58,0,0,0,0,6.91,0,0,45.25,3.78,0,2.42,18.33,7.4,0,0,0,0.39,0,0,0.39,3.62,27.9,0.37,0,7.03,109,0.52,1.45,14.4,0,0,28.86,3.2,5.61,19.9,0,0,7.83,0,0.53
 60-70,0,0,0.89,0,11.7,0,0,110.76,0,0.91,1.54,53.89,9.8,0,0,6.32,0,0,0.7,2.16,0,68.26,1.21,2.73,3.17,108.94,1.78,5.43,0,0,0,19.61,0.64,3.32,24.2,1.22,0.73,5.66,0,4.37
 72-82,0,0,1.3,0,27.04,13.49,0,130.67,0,1.19,0.98,62.13,24.02,0,2.84,0.79,3.2,0,2.93,13.85,0,131.42,1.7,4.49,8.62,175.12,0,1.41,2.47,0,0,7.5,5.55,0,18.04,0.56,1.55,14.32,2.26,4.2
 84-94,0,0,0,0,12.79,24.78,2.25,110.42,0,11.75,2.67,44.52,28.21,0,0,4,5.1,1.97,1.03,29.35,12.46,69.1,0.57,2.77,1.23,131.72,0,8.56,4.2,0,3.48,26.71,10.29,0,13.96,0.57,3.37,9.33,0.89,10.75
 96-106,0,0,1.41,0,24.45,8.11,1.28,136.47,0,0.76,3.61,58.22,43.29,0,3.3,8.13,2.85,2.39,0,28.88,0.67,104.64,5.25,5.47,6.9,137.25,3.93,16.48,8.5,0,5.84,17.5,14.63,0.82,16.96,4.64,1.76,7.44,3.24,5.1
108-118,0,0,0.8,0,33.06,22.58,14.24,128.38,2.24,3.52,3.47,81.57,49.97,0,0,3.27,3.62,6.54,2.02,72.67,0.5,139.98,0,1.33,3.03,173.25,3.05,7.08,5.88,0,1.76,47.49,6.2,0,5.11,0.95,2.2,17.37,4.39,9.95
120,0,0,2.94,3.17,33.77,2.91,4.06,82.5,0,0,0,68.05,72.41,0,0,15.16,8.13,1.18,0,89.67,0,113.09,0,0,11.17,272.64,13.41,19.83,3.86,0,0,12.61,12.95,0,14.61,1.94,0,4.8,0,0
