stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,46.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,0,0,0,9.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,222.12,0,0,0,0,0,0,19.1,0,0,0,1.11,0,0,0,0,0,0,0,0,29.87,0,0,0,0,0,0,0,0,0,141.24,0,0,2.48,0,0
 24-34,0,0,0,236.59,0,0,4.37,0,0.72,0,56.06,0,0,0,0.65,1.03,0,0,0,6.91,0.83,0,2.2,261.62,0,1.87,0,0,0,1.56,0,1,0,202.57,0,0,5.1,0,0
 36-46,0,0,0,56.57,0,0,14.6,0,0.66,0,331.92,0,0,14.07,0,0,0,0,10.99,5.87,0,0,2.96,585.04,0,0,0,0,0,4.36,0,0,0,294,0,0,1.32,0,0.61
 48-58,3.46,6.46,0,37.95,0,0,81.33,1.02,2.4,0,998.15,0,0,3.79,0,0,0.56,2.56,0,17.98,0,0.92,0,554.31,1.94,0,0,0,0,1.28,0,0,0,488.18,0,0,2.82,0,0
 60-70,0,0,0,46.2,0,0,68.26,0,9.4,2.02,3149.36,2.15,0,7.87,0,2.8,0,0,0,18.62,0.76,0,0,573.18,0,1.16,3.63,0,0,3.35,0,0,0,488.68,0,0,0,0,14.23
 72-82,0,0,0,44.56,5.22,0,325.98,0.75,0,0.59,5749.32,1.99,0,7.56,0,1.15,0,0,0,67.27,8.82,1.17,3.36,686.86,0,0,0.97,0,3.03,7.54,0,0,1.5,357.88,8.41,1.02,3.68,2.68,3.1
 84-94,0,0,0,68.5,0,0,477.72,0,3.4,0,4683.06,0,0,4.55,0,1.03,0,2.58,0,49.08,1.27,2.66,2.65,501.69,0,0,10.08,0,0,7.28,2.8,0,0,440.25,1.14,0,2.36,4.22,17.46
 96-106,0,0,0,73.01,28.76,0.98,542.78,0.88,1.18,0,6370.65,2.27,0,21.49,1.69,0,1.29,25.01,0,133.67,0.61,2.92,11.4,710.78,1.43,0.71,9.44,0,0,19.17,0,4.26,0,500.01,2.47,0,5.59,4.42,5.24
108-118,0,0,0,76.5,4.49,0,296.04,0.65,2.96,4.22,6519.03,0,1.03,9.04,0,3.37,1.31,0.73,0,75.38,1.09,0.69,6.83,584.73,0,3.73,8.36,0,0,2.02,0,0,0,330.58,0,1.53,6.44,0,0
120,4.78,0,0,43.24,1.34,5.97,339.75,0,5.88,1.44,7623.62,0,0,10.15,15.24,0,1.84,0,10.94,47.48,0,0,8.3,592.42,0,3.36,9.73,0,0,3.24,0,0,0,311.13,0,0,5.18,0,0
