stage,eye,glial,gut,iridophores,mesenchyme,mural_cell,muscle,neural,presomitic_mesoderm,spinal_cord,xanthophores
  7-9,0,0,0,0,0,0,0,5.64,0,0,0
 14-21,0,0,0,0,0,0,0,4.45,0.92,5.38,0
 24-34,0,0,0,0,0,0,0,2.51,0,0.85,0
 36-46,4.72,1.25,0.67,0,0.82,0,0,5.36,0,0,0
 48-58,3.06,0.47,0,0,1.61,0,0,9.3,0,0.5,0.42
 60-70,2.54,6.55,0,0,2.23,0.93,0,5.98,0,0,4.96
 72-82,0.89,7.34,0,0,2.49,0,0.53,0.56,0,0,0
 84-94,0,4.53,0,0.79,2.93,0,0,12.86,0,0,3.76
 96-106,0.75,10.07,0,0,0,0,0,1.47,0,0,0
108-118,0,22.56,0,0,0,0,0,0,0,0,0
120,0,15.75,0,0,0,0,0,0,0,0,0
