stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.74,1168.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,62.23,1006.16,0,0,0,0,0,0,0,0,0,0,22.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.57,0,6.16,0,0,0,0,0,0,0,0,0,0
  7-9,22.74,32.04,0,52.82,0,0,149.78,0,0,0,0,0,28.68,0,0,0,0,0,0,0,0,0,0,0,807.19,23.95,0,0,266.8,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.65,0,24.74,0,16.16,67.99,0,0,0,0,0,41.84,0,0,0,0,0,0,0,0,0,0,0,744.07,26.55,0,0,253.58,0,0,3.57,37.07,0,0,4.33,0,0,0,0,0
 14-21,0,0,1.11,6.63,24.42,13.04,9.82,0,0,0,3.13,3.77,15.56,1.5,0,1.16,0,0,0,2.96,20.53,0,0,17.51,155.03,8.22,0,3.85,1.09,0,3.37,16.08,2.97,1.78,21.49,62.49,0,0,0.81,0,0
 24-34,0,0,0,1.94,12.18,10.36,25.77,0,0,0.89,16.4,0,2.21,0,0.8,0,0,0.67,0,1.5,22.2,0,0,10.81,335.33,3.29,2.81,4.38,0,0,12.25,0,7.59,0,3.05,110.36,0,0,14.23,0,1.12
 36-46,0,0,0,0,16.91,0,48.4,0,0,3.57,36.54,0,0,2,0,0,0.65,0,8.48,0.67,31.19,7.69,0,5.05,490.84,1.52,1.71,1.54,0,0,30.76,0,8.14,0,1.34,116.96,0,0,10.68,0,0.81
 48-58,0,0,0,0,6.08,6.79,206.97,0,0.66,6.12,18.83,0.58,0,2.25,2.33,0,2.58,0,0,11.15,56.9,0.87,0.54,11.83,529.22,0.95,0.56,2.56,0,0,7.32,0,0,0,0,93.06,0,0,17.27,0,5.14
 60-70,0,0,0,0,19.92,0,343.96,0,0,0.85,64.03,0.63,0,0,4.58,0,6.63,0,0.74,0,72.71,0,0.71,3.19,633.02,0,0,3.65,0,0,21.97,0,0,0,0,145.77,0.61,1.63,4.51,2.76,5.26
 72-82,0,0,0,0,13.88,0,318.7,0,0,13.11,47.86,2.51,0.5,1.27,3.49,0.66,4.15,0,0,0,70.93,0.95,1.27,10.05,534.43,0,0.6,3.25,0,0,13.9,0,0,0,0,90.74,1.33,0,3.96,0.91,6.57
 84-94,0,0,0,0,13.95,1.45,263.51,0,3.42,7.7,38.58,2.28,0,1.82,5.71,0.55,4.02,0.81,0.56,5.75,60.19,0.86,0,4.85,365.16,0,5.8,5.34,0,0,27.06,0,2.75,0,0,63.98,1.53,0,12.28,1.85,1.04
 96-106,0,0,1.14,0,16.05,7.12,205.08,0.62,0.73,0.96,58.41,6.31,0,0.73,5.65,2.71,0,6.63,0,6.59,77.42,0,0.8,3.61,299.86,0,1.86,5.3,0,3.65,22.62,0,0,0,0,40.22,1.14,4.09,7.72,1.93,2.68
108-118,0,0,0.41,0,18.05,3.54,165.34,0,3.27,1.23,43.71,2.61,0,0,10.39,3.39,7.41,0.42,7.56,0,78.78,0,1.48,7.2,379.42,0,13.54,3.64,0,0,18.54,0,0,0,0,43.85,3.98,0,6.46,0.77,8.07
120,0,0,0,0,18.45,15.06,108.51,1.14,8.86,2.8,71.36,3.71,0,2.27,2.72,4.55,6.65,0,0,0,112.97,0,0,7.73,490.18,3.37,0,6.37,0,0,27.03,0,2.36,0,0,18.6,0,22.66,4.4,0,0
