stage,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,pericytes,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,9.79,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,12.23,0,0,0,0,0,0,0,0
 14-21,0,1.05,0,0,0,2.26,0.9,0,0,3.91,0,2,11.11,0,0,0,4.69,1.01,4.54,0,0
 24-34,0,0,0.67,0,0,0,0,0,0.66,1.15,0,0,4.2,0,0,0,0,0,0.75,14.44,0
 36-46,0,0,3.53,1.45,0,0,0,1.32,0,6.12,0,2.83,8.71,0,0,0.81,0,0,0,3.67,0
 48-58,0,0,0.38,0,0,0.55,0,0,0,2.23,0,0.38,11.78,1.2,0,0,0,0,0.43,4.14,0
 60-70,0,0,3.47,0,3.64,0,0,0,0,4.29,0,0,14.7,0,0,0,0,0,0,7.77,0
 72-82,0,0,1.34,0,0,0.59,0,0,0,2.72,0.93,0,1.04,0,0,0,0,0,0,11.63,0
 84-94,0.73,0,0.7,0,3.63,2.53,0,0,0,8.24,0.94,0,4.48,0,0,0,0,0,0,1.45,0.96
 96-106,0,0,0,0,0,2.4,0,0,0,7.92,0,0,3.55,0,0,0,0,0,0,50.83,0
108-118,0,0,2.44,0,7.86,2.23,0,0,0,18.22,0,0,11.4,0,3.47,0,0,0,0,41.77,1
120,0,0,0,0,0,0,0,0,0,24.1,0,0,5.59,0,4.05,0,0,0,0,32.49,0
