stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,34.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.1,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.81,0.89,0,0,0,3.01,0,0,0,0,0,0,0,0,0,1.81,0,0,4.13,16.51,0,0,0,3.7,0,0,3.1,0.86,8.15,8.49,0,0,0,0,0
 24-34,0,0,1.45,0,7.35,0,0,6.67,0,0,0,0,0.69,0,3.88,0,0,5.13,0,0,1.3,56.78,0,0,0.72,0,0,5.98,0,0,2.63,23.82,0,0,1.22,0,0
 36-46,0,0.98,5.78,0,15.54,0,1.83,6.71,0,0,0,0,0,0,0,0,0,2.28,0,0,0.63,69.74,0.69,1.15,4.4,0,0,14.72,0,0.88,0,20.74,0,0,0,0,0
 48-58,0,0,0,0,47.71,2.39,0,9.33,0.91,0,0,0,0,0.38,0.44,0,0.54,12.18,1.5,0,4.03,95.99,5.65,0,0,0,0,1.87,0,0,0,27.35,0,0,1.69,0,0
 60-70,0,0.82,15.59,0,49.84,0,0,15.43,4.99,0,0,0.83,2.48,0,1.2,0,0,5.96,0,0,1.35,116.63,0,1.6,0,0,0,9.06,0,0,0,47.03,0,0,2.53,0,0
 72-82,0,9.23,2.25,0,45.78,0,9.52,10.7,13.62,0,1.42,0,0,0,0,0,0,12.39,0,0,0.64,119.31,0,0,0,0,0,0.62,0,0,0,22.72,0,0,1.88,0,0
 84-94,0,5.02,3.16,0,34.4,0,0,14.52,28.26,0,0,0,0,1.37,0,0.58,0,18.81,2.07,0,0,61.45,0,0,0,0,0,8.16,0,1.04,0,25.63,0,1.37,0,0,0
 96-106,0,10.89,1.5,0,52.24,0,2.55,25.09,38.83,0,0,0.78,0,0,0.77,7.59,0,2.96,0,0.93,2.06,69.28,0,0.95,0,0,0,13.57,0,0,0,7.08,0,0,1.04,0.76,1.4
108-118,0,2.72,6.25,0,31.94,0,0,10.72,112.01,0,0,0,0,1.28,0.76,0,0,5.05,0.43,0,0,72.12,0,0,0,0,4.05,10.21,0,0,0,17.9,1.83,0,0,0,0
120,0,15.34,16.79,0,49.99,1.58,0,16.69,123.61,0,0,8.09,0,0,0,12.36,0,13.85,0,0,2.81,35.18,0,0,0,0,0,12.02,0,2.59,0,23.74,1.19,0,2.97,0,0
